date,how do i delete my facebook account,how to delete a facebook account
2011-01-01,46,81
2011-02-01,38,61
2011-03-01,38,56
2011-04-01,37,54
2011-05-01,38,60
2011-06-01,44,63
2011-07-01,47,74
2011-08-01,65,85
2011-09-01,65,82
2011-10-01,69,89
2011-11-01,74,100
2011-12-01,76,94
2012-01-01,81,98
2012-02-01,69,96
2012-03-01,65,98
2012-04-01,50,66
2012-05-01,47,64
2012-06-01,42,72
2012-07-01,28,95
2012-08-01,29,89
2012-09-01,37,72
2012-10-01,49,59
2012-11-01,37,80
2012-12-01,28,86
2013-01-01,24,73
2013-02-01,43,64
2013-03-01,45,74
2013-04-01,26,75
2013-05-01,21,57
2013-06-01,23,58
2013-07-01,41,72
2013-08-01,37,70
2013-09-01,20,51
2013-10-01,17,55
2013-11-01,26,61
2013-12-01,41,75
2014-01-01,32,66
2014-02-01,21,49
2014-03-01,18,50
2014-04-01,26,60
2014-05-01,32,64
2014-06-01,30,58
2014-07-01,24,54
2014-08-01,26,59
2014-09-01,31,62
2014-10-01,26,56
2014-11-01,22,56
2014-12-01,24,59
2015-01-01,28,62
2015-02-01,25,60
2015-03-01,25,60
2015-04-01,18,68
2015-05-01,19,55
2015-06-01,23,52
2015-07-01,28,66
2015-08-01,31,74
2015-09-01,24,58
2015-10-01,21,46
2015-11-01,22,46
2015-12-01,23,51
2016-01-01,27,64
2016-02-01,24,61
2016-03-01,21,51
2016-04-01,19,50
2016-05-01,20,52
2016-06-01,33,77
2016-07-01,28,73
2016-08-01,22,57
2016-09-01,21,58
2016-10-01,27,59
2016-11-01,35,71
2016-12-01,23,62
2017-01-01,22,64
