date,delete fb account,how to delete a facebook account
2011-01-01,5,55
2011-02-01,6,42
2011-03-01,5,39
2011-04-01,5,37
2011-05-01,6,41
2011-06-01,7,43
2011-07-01,8,51
2011-08-01,10,58
2011-09-01,12,56
2011-10-01,10,61
2011-11-01,13,69
2011-12-01,13,65
2012-01-01,14,67
2012-02-01,15,66
2012-03-01,12,67
2012-04-01,14,45
2012-05-01,16,44
2012-06-01,17,49
2012-07-01,17,65
2012-08-01,18,61
2012-09-01,18,49
2012-10-01,20,40
2012-11-01,19,55
2012-12-01,21,59
2013-01-01,22,50
2013-02-01,21,44
2013-03-01,23,51
2013-04-01,24,51
2013-05-01,25,39
2013-06-01,29,40
2013-07-01,25,50
2013-08-01,26,48
2013-09-01,26,35
2013-10-01,28,38
2013-11-01,27,42
2013-12-01,31,51
2014-01-01,32,45
2014-02-01,33,34
2014-03-01,30,34
2014-04-01,33,41
2014-05-01,40,44
2014-06-01,42,40
2014-07-01,44,37
2014-08-01,40,40
2014-09-01,36,43
2014-10-01,36,38
2014-11-01,35,39
2014-12-01,37,41
2015-01-01,40,43
2015-02-01,39,41
2015-03-01,38,41
2015-04-01,45,47
2015-05-01,50,38
2015-06-01,54,36
2015-07-01,50,46
2015-08-01,50,51
2015-09-01,55,40
2015-10-01,48,32
2015-11-01,48,31
2015-12-01,47,35
2016-01-01,50,44
2016-02-01,50,42
2016-03-01,61,35
2016-04-01,60,34
2016-05-01,57,36
2016-06-01,62,53
2016-07-01,75,50
2016-08-01,77,39
2016-09-01,66,40
2016-10-01,59,41
2016-11-01,67,49
2016-12-01,94,43
2017-01-01,100,44
