date,how do delete facebook,how to delete facebook
2011-01-01,18,62
2011-02-01,16,57
2011-03-01,15,55
2011-04-01,15,57
2011-05-01,16,60
2011-06-01,18,66
2011-07-01,19,72
2011-08-01,22,86
2011-09-01,21,84
2011-10-01,22,86
2011-11-01,23,91
2011-12-01,27,100
2012-01-01,27,99
2012-02-01,28,97
2012-03-01,26,99
2012-04-01,23,91
2012-05-01,20,85
2012-06-01,22,85
2012-07-01,22,84
2012-08-01,24,90
2012-09-01,23,89
2012-10-01,21,77
2012-11-01,19,73
2012-12-01,20,81
2013-01-01,21,78
2013-02-01,20,71
2013-03-01,17,67
2013-04-01,16,65
2013-05-01,14,61
2013-06-01,15,61
2013-07-01,15,61
2013-08-01,14,62
2013-09-01,13,59
2013-10-01,13,55
2013-11-01,13,53
2013-12-01,13,56
2014-01-01,14,59
2014-02-01,13,55
2014-03-01,12,53
2014-04-01,12,52
2014-05-01,12,53
2014-06-01,12,56
2014-07-01,13,59
2014-08-01,13,62
2014-09-01,12,56
2014-10-01,11,52
2014-11-01,10,50
2014-12-01,11,52
2015-01-01,11,54
2015-02-01,10,51
2015-03-01,10,49
2015-04-01,10,48
2015-05-01,10,50
2015-06-01,11,54
2015-07-01,12,56
2015-08-01,11,54
2015-09-01,11,50
2015-10-01,10,49
2015-11-01,10,48
2015-12-01,10,51
2016-01-01,11,54
2016-02-01,10,47
2016-03-01,10,49
2016-04-01,10,51
2016-05-01,10,51
2016-06-01,11,55
2016-07-01,11,57
2016-08-01,11,54
2016-09-01,10,54
2016-10-01,10,53
2016-11-01,11,54
2016-12-01,10,52
2017-01-01,12,56
