date,delete fb,how to delete facebook
2011-01-01,2,63
2011-02-01,2,58
2011-03-01,3,56
2011-04-01,3,60
2011-05-01,3,61
2011-06-01,3,67
2011-07-01,4,73
2011-08-01,4,87
2011-09-01,4,84
2011-10-01,4,87
2011-11-01,4,91
2011-12-01,5,99
2012-01-01,5,99
2012-02-01,5,98
2012-03-01,5,100
2012-04-01,5,90
2012-05-01,5,87
2012-06-01,6,87
2012-07-01,6,84
2012-08-01,7,91
2012-09-01,7,88
2012-10-01,7,79
2012-11-01,7,72
2012-12-01,8,82
2013-01-01,7,80
2013-02-01,7,72
2013-03-01,7,67
2013-04-01,7,66
2013-05-01,7,61
2013-06-01,7,62
2013-07-01,7,62
2013-08-01,7,62
2013-09-01,7,59
2013-10-01,7,56
2013-11-01,7,54
2013-12-01,7,56
2014-01-01,8,60
2014-02-01,8,56
2014-03-01,7,54
2014-04-01,8,54
2014-05-01,9,54
2014-06-01,9,58
2014-07-01,9,59
2014-08-01,10,64
2014-09-01,9,56
2014-10-01,8,52
2014-11-01,8,50
2014-12-01,9,52
2015-01-01,9,55
2015-02-01,9,51
2015-03-01,8,50
2015-04-01,9,49
2015-05-01,10,50
2015-06-01,11,55
2015-07-01,11,57
2015-08-01,10,56
2015-09-01,11,50
2015-10-01,10,50
2015-11-01,10,49
2015-12-01,10,51
2016-01-01,10,54
2016-02-01,10,49
2016-03-01,11,49
2016-04-01,12,51
2016-05-01,12,52
2016-06-01,13,54
2016-07-01,14,58
2016-08-01,15,56
2016-09-01,13,54
2016-10-01,13,53
2016-11-01,13,55
2016-12-01,16,53
2017-01-01,16,58
