date,delete account,how to delete facebook
2011-01-01,51,28
2011-02-01,45,25
2011-03-01,41,24
2011-04-01,44,26
2011-05-01,43,27
2011-06-01,48,30
2011-07-01,52,32
2011-08-01,56,38
2011-09-01,52,37
2011-10-01,54,38
2011-11-01,55,40
2011-12-01,58,44
2012-01-01,59,44
2012-02-01,56,43
2012-03-01,55,44
2012-04-01,57,40
2012-05-01,55,38
2012-06-01,59,39
2012-07-01,62,37
2012-08-01,62,40
2012-09-01,58,39
2012-10-01,56,35
2012-11-01,56,32
2012-12-01,63,36
2013-01-01,64,35
2013-02-01,65,32
2013-03-01,61,30
2013-04-01,62,29
2013-05-01,62,27
2013-06-01,69,27
2013-07-01,70,27
2013-08-01,70,27
2013-09-01,65,26
2013-10-01,63,24
2013-11-01,64,24
2013-12-01,70,25
2014-01-01,75,26
2014-02-01,71,24
2014-03-01,70,24
2014-04-01,70,24
2014-05-01,71,23
2014-06-01,74,25
2014-07-01,78,26
2014-08-01,79,28
2014-09-01,75,25
2014-10-01,72,23
2014-11-01,72,22
2014-12-01,76,23
2015-01-01,79,24
2015-02-01,73,23
2015-03-01,72,22
2015-04-01,70,21
2015-05-01,69,22
2015-06-01,74,24
2015-07-01,83,25
2015-08-01,84,24
2015-09-01,76,22
2015-10-01,72,22
2015-11-01,71,21
2015-12-01,78,22
2016-01-01,84,24
2016-02-01,79,21
2016-03-01,76,22
2016-04-01,77,23
2016-05-01,78,23
2016-06-01,92,24
2016-07-01,100,25
2016-08-01,90,24
2016-09-01,87,24
2016-10-01,88,24
2016-11-01,89,24
2016-12-01,94,23
2017-01-01,96,25
