date,ENCRYPT TEXT MESSAGES
2011-01-01,43
2011-02-01,30
2011-03-01,20
2011-04-01,55
2011-05-01,20
2011-06-01,63
2011-07-01,49
2011-08-01,26
2011-09-01,48
2011-10-01,73
2011-11-01,49
2011-12-01,60
2012-01-01,41
2012-02-01,17
2012-03-01,32
2012-04-01,57
2012-05-01,37
2012-06-01,38
2012-07-01,54
2012-08-01,43
2012-09-01,48
2012-10-01,58
2012-11-01,43
2012-12-01,44
2013-01-01,53
2013-02-01,78
2013-03-01,43
2013-04-01,53
2013-05-01,51
2013-06-01,57
2013-07-01,69
2013-08-01,43
2013-09-01,59
2013-10-01,36
2013-11-01,53
2013-12-01,49
2014-01-01,57
2014-02-01,70
2014-03-01,41
2014-04-01,81
2014-05-01,63
2014-06-01,52
2014-07-01,67
2014-08-01,55
2014-09-01,60
2014-10-01,100
2014-11-01,39
2014-12-01,50
2015-01-01,29
2015-02-01,71
2015-03-01,68
2015-04-01,70
2015-05-01,43
2015-06-01,62
2015-07-01,21
2015-08-01,21
2015-09-01,56
2015-10-01,52
2015-11-01,68
2015-12-01,41
2016-01-01,55
2016-02-01,42
2016-03-01,60
2016-04-01,63
2016-05-01,51
2016-06-01,56
2016-07-01,44
2016-08-01,68
2016-09-01,77
2016-10-01,78
2016-11-01,73
2016-12-01,67
2017-01-01,69
