date,gmail privacy policy,gmail privacy issues
2011-01-01,14,11
2011-02-01,11,11
2011-03-01,12,9
2011-04-01,11,16
2011-05-01,5,14
2011-06-01,11,7
2011-07-01,16,7
2011-08-01,15,7
2011-09-01,21,13
2011-10-01,21,9
2011-11-01,21,5
2011-12-01,14,6
2012-01-01,43,15
2012-02-01,100,12
2012-03-01,60,8
2012-04-01,23,6
2012-05-01,11,5
2012-06-01,14,8
2012-07-01,8,8
2012-08-01,19,6
2012-09-01,13,10
2012-10-01,19,4
2012-11-01,18,6
2012-12-01,9,9
2013-01-01,9,7
2013-02-01,21,9
2013-03-01,16,7
2013-04-01,14,9
2013-05-01,15,6
2013-06-01,17,10
2013-07-01,11,7
2013-08-01,34,12
2013-09-01,8,7
2013-10-01,26,10
2013-11-01,20,7
2013-12-01,16,8
2014-01-01,22,9
2014-02-01,17,6
2014-03-01,17,6
2014-04-01,26,9
2014-05-01,27,8
2014-06-01,12,7
2014-07-01,12,5
2014-08-01,18,3
2014-09-01,15,5
2014-10-01,25,3
2014-11-01,16,8
2014-12-01,21,4
2015-01-01,16,3
2015-02-01,14,7
2015-03-01,14,3
2015-04-01,19,5
2015-05-01,15,4
2015-06-01,21,4
2015-07-01,18,4
2015-08-01,20,4
2015-09-01,23,4
2015-10-01,12,5
2015-11-01,14,7
2015-12-01,12,3
2016-01-01,16,6
2016-02-01,15,9
2016-03-01,19,5
2016-04-01,14,6
2016-05-01,17,2
2016-06-01,17,2
2016-07-01,20,6
2016-08-01,20,5
2016-09-01,21,8
2016-10-01,20,3
2016-11-01,21,7
2016-12-01,21,3
2017-01-01,17,4
