date,gmail privacy settings,gmail privacy issues
2011-01-01,10,20
2011-02-01,27,22
2011-03-01,32,16
2011-04-01,24,31
2011-05-01,29,26
2011-06-01,20,13
2011-07-01,33,13
2011-08-01,31,12
2011-09-01,21,24
2011-10-01,20,17
2011-11-01,35,9
2011-12-01,32,11
2012-01-01,39,29
2012-02-01,68,22
2012-03-01,100,15
2012-04-01,43,12
2012-05-01,42,10
2012-06-01,31,16
2012-07-01,26,15
2012-08-01,28,11
2012-09-01,35,19
2012-10-01,46,7
2012-11-01,37,12
2012-12-01,56,17
2013-01-01,25,13
2013-02-01,37,16
2013-03-01,45,12
2013-04-01,33,17
2013-05-01,32,12
2013-06-01,52,19
2013-07-01,41,12
2013-08-01,45,22
2013-09-01,46,14
2013-10-01,53,19
2013-11-01,56,14
2013-12-01,60,16
2014-01-01,54,16
2014-02-01,50,12
2014-03-01,59,11
2014-04-01,48,16
2014-05-01,50,15
2014-06-01,60,12
2014-07-01,48,10
2014-08-01,32,6
2014-09-01,44,9
2014-10-01,53,5
2014-11-01,43,15
2014-12-01,57,8
2015-01-01,58,5
2015-02-01,47,13
2015-03-01,49,5
2015-04-01,30,9
2015-05-01,31,8
2015-06-01,60,8
2015-07-01,61,8
2015-08-01,69,8
2015-09-01,48,7
2015-10-01,58,9
2015-11-01,53,13
2015-12-01,46,7
2016-01-01,42,12
2016-02-01,48,16
2016-03-01,36,9
2016-04-01,39,11
2016-05-01,43,4
2016-06-01,27,4
2016-07-01,61,10
2016-08-01,48,9
2016-09-01,38,15
2016-10-01,29,6
2016-11-01,42,13
2016-12-01,29,6
2017-01-01,41,8
