date,gmail privacy,info handled appropriately gmail
2011-01-01,41,0
2011-02-01,34,0
2011-03-01,38,0
2011-04-01,34,0
2011-05-01,36,0
2011-06-01,35,0
2011-07-01,31,0
2011-08-01,37,0
2011-09-01,39,0
2011-10-01,34,0
2011-11-01,40,0
2011-12-01,36,0
2012-01-01,54,0
2012-02-01,84,0
2012-03-01,80,0
2012-04-01,37,0
2012-05-01,35,0
2012-06-01,33,0
2012-07-01,36,0
2012-08-01,33,0
2012-09-01,44,0
2012-10-01,36,0
2012-11-01,41,0
2012-12-01,43,0
2013-01-01,37,0
2013-02-01,46,0
2013-03-01,43,0
2013-04-01,41,0
2013-05-01,41,0
2013-06-01,46,0
2013-07-01,44,0
2013-08-01,100,0
2013-09-01,47,0
2013-10-01,60,0
2013-11-01,56,0
2013-12-01,46,0
2014-01-01,55,0
2014-02-01,51,0
2014-03-01,50,0
2014-04-01,50,0
2014-05-01,46,0
2014-06-01,43,0
2014-07-01,41,0
2014-08-01,45,0
2014-09-01,48,0
2014-10-01,53,0
2014-11-01,50,0
2014-12-01,47,0
2015-01-01,48,0
2015-02-01,43,0
2015-03-01,51,0
2015-04-01,47,0
2015-05-01,41,0
2015-06-01,54,0
2015-07-01,44,0
2015-08-01,49,0
2015-09-01,50,0
2015-10-01,49,0
2015-11-01,45,0
2015-12-01,45,0
2016-01-01,47,0
2016-02-01,51,0
2016-03-01,52,0
2016-04-01,47,0
2016-05-01,50,0
2016-06-01,51,0
2016-07-01,53,0
2016-08-01,47,0
2016-09-01,51,0
2016-10-01,49,0
2016-11-01,48,0
2016-12-01,41,0
2017-01-01,52,0
