Date,torproject.org
2011-01-01,88.0
2011-02-01,23.0
2011-03-01,21.0
2011-04-01,44.0
2011-05-01,86.0
2011-06-01,65.0
2011-07-01,43.0
2011-08-01,40.0
2011-09-01,60.0
2011-10-01,19.0
2011-11-01,19.0
2011-12-01,73.0
2012-01-01,68.0
2012-02-01,35.0
2012-03-01,61.0
2012-04-01,87.0
2012-05-01,33.0
2012-06-01,87.0
2012-07-01,100.0
2012-08-01,97.0
2012-09-01,50.0
2012-10-01,30.0
2012-11-01,46.0
2012-12-01,90.0
2013-01-01,56.0
2013-02-01,45.0
2013-03-01,69.0
2013-04-01,14.0
2013-05-01,14.0
2013-06-01,44.0
2013-07-01,42.0
2013-08-01,28.0
2013-09-01,14.0
2013-10-01,67.0
2013-11-01,28.0
2013-12-01,14.0
2014-01-01,26.0
2014-02-01,13.0
2014-03-01,13.0
2014-04-01,20.0
2014-05-01,28.0
2014-06-01,64.0
2014-07-01,61.0
2014-08-01,46.0
2014-09-01,59.0
2014-10-01,42.0
2014-11-01,15.0
2014-12-01,15.0
2015-01-01,98.0
2015-02-01,30.0
2015-03-01,42.0
2015-04-01,73.0
2015-05-01,15.0
2015-06-01,31.0
2015-07-01,45.0
2015-08-01,30.0
2015-09-01,15.0
2015-10-01,68.0
2015-11-01,28.0
2015-12-01,14.0
2016-01-01,13.0
2016-02-01,36.0
2016-03-01,58.0
2016-04-01,80.0
2016-05-01,13.0
2016-06-01,29.0
