date,Private search engines
2011-01-01,52
2011-02-01,58
2011-03-01,35
2011-04-01,38
2011-05-01,50
2011-06-01,69
2011-07-01,57
2011-08-01,51
2011-09-01,72
2011-10-01,57
2011-11-01,60
2011-12-01,54
2012-01-01,74
2012-02-01,82
2012-03-01,75
2012-04-01,54
2012-05-01,39
2012-06-01,61
2012-07-01,51
2012-08-01,60
2012-09-01,55
2012-10-01,54
2012-11-01,31
2012-12-01,42
2013-01-01,34
2013-02-01,55
2013-03-01,45
2013-04-01,38
2013-05-01,28
2013-06-01,81
2013-07-01,100
2013-08-01,51
2013-09-01,58
2013-10-01,52
2013-11-01,51
2013-12-01,68
2014-01-01,59
2014-02-01,75
2014-03-01,63
2014-04-01,48
2014-05-01,32
2014-06-01,52
2014-07-01,71
2014-08-01,62
2014-09-01,55
2014-10-01,43
2014-11-01,56
2014-12-01,35
2015-01-01,44
2015-02-01,41
2015-03-01,34
2015-04-01,59
2015-05-01,34
2015-06-01,44
2015-07-01,43
2015-08-01,38
2015-09-01,40
2015-10-01,37
2015-11-01,37
2015-12-01,53
2016-01-01,40
2016-02-01,33
2016-03-01,53
2016-04-01,40
2016-05-01,34
2016-06-01,35
2016-07-01,29
2016-08-01,42
2016-09-01,37
2016-10-01,39
2016-11-01,49
2016-12-01,47
2017-01-01,40
