date,best secure browser for android,most private browser
2011-01-01,0,21
2011-02-01,22,55
2011-03-01,0,40
2011-04-01,0,40
2011-05-01,0,40
2011-06-01,0,21
2011-07-01,0,27
2011-08-01,0,38
2011-09-01,0,37
2011-10-01,18,71
2011-11-01,18,18
2011-12-01,18,70
2012-01-01,16,59
2012-02-01,15,61
2012-03-01,15,58
2012-04-01,15,49
2012-05-01,15,31
2012-06-01,32,21
2012-07-01,15,42
2012-08-01,15,46
2012-09-01,31,23
2012-10-01,14,47
2012-11-01,14,14
2012-12-01,14,66
2013-01-01,17,43
2013-02-01,13,47
2013-03-01,13,42
2013-04-01,39,47
2013-05-01,12,41
2013-06-01,26,51
2013-07-01,12,80
2013-08-01,12,67
2013-09-01,12,29
2013-10-01,12,50
2013-11-01,12,55
2013-12-01,16,92
2014-01-01,15,55
2014-02-01,20,56
2014-03-01,11,51
2014-04-01,17,41
2014-05-01,21,80
2014-06-01,25,59
2014-07-01,49,66
2014-08-01,29,74
2014-09-01,29,94
2014-10-01,17,63
2014-11-01,12,61
2014-12-01,14,86
2015-01-01,16,70
2015-02-01,23,49
2015-03-01,16,42
2015-04-01,21,82
2015-05-01,21,66
2015-06-01,14,64
2015-07-01,21,77
2015-08-01,10,100
2015-09-01,20,81
2015-10-01,10,68
2015-11-01,20,82
2015-12-01,15,93
2016-01-01,9,60
2016-02-01,23,66
2016-03-01,9,64
2016-04-01,41,67
2016-05-01,15,94
2016-06-01,12,85
2016-07-01,18,83
2016-08-01,21,63
2016-09-01,13,77
2016-10-01,20,79
2016-11-01,43,65
2016-12-01,42,85
2017-01-01,44,97
