date,hide ip address free online,most private browser
2011-01-01,60,11
2011-02-01,56,30
2011-03-01,71,22
2011-04-01,50,22
2011-05-01,43,22
2011-06-01,70,11
2011-07-01,69,15
2011-08-01,41,21
2011-09-01,74,20
2011-10-01,80,38
2011-11-01,96,10
2011-12-01,63,38
2012-01-01,87,32
2012-02-01,72,33
2012-03-01,80,31
2012-04-01,62,27
2012-05-01,61,17
2012-06-01,66,11
2012-07-01,65,23
2012-08-01,70,25
2012-09-01,80,13
2012-10-01,86,25
2012-11-01,53,8
2012-12-01,51,36
2013-01-01,77,23
2013-02-01,72,26
2013-03-01,54,23
2013-04-01,46,26
2013-05-01,40,22
2013-06-01,53,28
2013-07-01,59,43
2013-08-01,47,36
2013-09-01,55,15
2013-10-01,42,27
2013-11-01,47,30
2013-12-01,67,50
2014-01-01,64,30
2014-02-01,61,31
2014-03-01,55,27
2014-04-01,51,22
2014-05-01,51,43
2014-06-01,100,32
2014-07-01,69,36
2014-08-01,98,40
2014-09-01,91,51
2014-10-01,65,34
2014-11-01,60,33
2014-12-01,65,47
2015-01-01,67,38
2015-02-01,66,27
2015-03-01,30,23
2015-04-01,67,44
2015-05-01,62,36
2015-06-01,53,34
2015-07-01,41,41
2015-08-01,50,54
2015-09-01,64,44
2015-10-01,75,37
2015-11-01,45,45
2015-12-01,45,51
2016-01-01,54,32
2016-02-01,53,36
2016-03-01,51,35
2016-04-01,44,36
2016-05-01,48,51
2016-06-01,31,46
2016-07-01,63,45
2016-08-01,55,34
2016-09-01,55,42
2016-10-01,85,43
2016-11-01,80,35
2016-12-01,77,46
2017-01-01,83,52
