date,best privacy browser,most private browser
2011-01-01,20,9
2011-02-01,18,23
2011-03-01,27,16
2011-04-01,18,16
2011-05-01,14,17
2011-06-01,20,8
2011-07-01,17,11
2011-08-01,26,16
2011-09-01,44,15
2011-10-01,22,29
2011-11-01,24,7
2011-12-01,17,29
2012-01-01,38,25
2012-02-01,51,25
2012-03-01,63,24
2012-04-01,39,20
2012-05-01,38,13
2012-06-01,37,9
2012-07-01,35,17
2012-08-01,36,19
2012-09-01,19,10
2012-10-01,21,19
2012-11-01,21,6
2012-12-01,39,27
2013-01-01,32,18
2013-02-01,41,20
2013-03-01,36,17
2013-04-01,28,20
2013-05-01,41,17
2013-06-01,44,21
2013-07-01,71,33
2013-08-01,55,28
2013-09-01,46,12
2013-10-01,42,21
2013-11-01,49,23
2013-12-01,85,38
2014-01-01,53,23
2014-02-01,52,23
2014-03-01,49,21
2014-04-01,43,17
2014-05-01,53,33
2014-06-01,50,24
2014-07-01,59,27
2014-08-01,75,31
2014-09-01,57,39
2014-10-01,71,26
2014-11-01,63,25
2014-12-01,54,36
2015-01-01,48,29
2015-02-01,64,20
2015-03-01,57,17
2015-04-01,78,34
2015-05-01,59,27
2015-06-01,66,26
2015-07-01,55,32
2015-08-01,74,41
2015-09-01,78,33
2015-10-01,77,28
2015-11-01,95,34
2015-12-01,70,39
2016-01-01,69,25
2016-02-01,75,27
2016-03-01,82,27
2016-04-01,79,28
2016-05-01,61,39
2016-06-01,69,35
2016-07-01,81,34
2016-08-01,83,26
2016-09-01,75,32
2016-10-01,71,33
2016-11-01,96,27
2016-12-01,90,35
2017-01-01,100,40
