date,hide ip address free mac,most private browser
2011-01-01,81,13
2011-02-01,100,36
2011-03-01,81,26
2011-04-01,73,26
2011-05-01,64,26
2011-06-01,84,13
2011-07-01,70,17
2011-08-01,70,25
2011-09-01,68,24
2011-10-01,69,46
2011-11-01,54,11
2011-12-01,49,46
2012-01-01,49,38
2012-02-01,54,40
2012-03-01,51,37
2012-04-01,64,32
2012-05-01,46,20
2012-06-01,72,14
2012-07-01,68,27
2012-08-01,77,30
2012-09-01,63,15
2012-10-01,76,30
2012-11-01,73,9
2012-12-01,64,43
2013-01-01,55,28
2013-02-01,70,31
2013-03-01,46,27
2013-04-01,61,31
2013-05-01,38,27
2013-06-01,47,33
2013-07-01,30,51
2013-08-01,40,43
2013-09-01,50,18
2013-10-01,43,33
2013-11-01,43,36
2013-12-01,52,59
2014-01-01,40,36
2014-02-01,60,36
2014-03-01,63,33
2014-04-01,56,27
2014-05-01,34,52
2014-06-01,43,38
2014-07-01,42,42
2014-08-01,69,48
2014-09-01,63,61
2014-10-01,63,41
2014-11-01,47,40
2014-12-01,58,56
2015-01-01,48,45
2015-02-01,54,32
2015-03-01,45,27
2015-04-01,53,53
2015-05-01,52,43
2015-06-01,30,41
2015-07-01,50,50
2015-08-01,31,65
2015-09-01,50,52
2015-10-01,50,44
2015-11-01,36,53
2015-12-01,28,60
2016-01-01,51,39
2016-02-01,34,42
2016-03-01,32,42
2016-04-01,33,43
2016-05-01,44,61
2016-06-01,22,55
2016-07-01,32,54
2016-08-01,54,41
2016-09-01,40,50
2016-10-01,64,51
2016-11-01,35,42
2016-12-01,55,55
2017-01-01,59,63
