date,surf anonymously free,most private browser
2011-01-01,71,0
2011-02-01,50,21
2011-03-01,55,13
2011-04-01,45,13
2011-05-01,74,13
2011-06-01,56,7
2011-07-01,49,7
2011-08-01,80,15
2011-09-01,69,9
2011-10-01,49,23
2011-11-01,100,6
2011-12-01,73,17
2012-01-01,63,16
2012-02-01,62,19
2012-03-01,46,20
2012-04-01,59,11
2012-05-01,67,7
2012-06-01,62,8
2012-07-01,46,13
2012-08-01,55,20
2012-09-01,47,5
2012-10-01,52,18
2012-11-01,43,5
2012-12-01,41,21
2013-01-01,40,10
2013-02-01,23,14
2013-03-01,35,14
2013-04-01,68,15
2013-05-01,28,18
2013-06-01,29,15
2013-07-01,24,24
2013-08-01,54,28
2013-09-01,66,8
2013-10-01,19,23
2013-11-01,34,21
2013-12-01,29,37
2014-01-01,45,18
2014-02-01,51,20
2014-03-01,32,18
2014-04-01,45,16
2014-05-01,35,33
2014-06-01,49,20
2014-07-01,40,18
2014-08-01,44,22
2014-09-01,34,29
2014-10-01,40,16
2014-11-01,54,19
2014-12-01,36,35
2015-01-01,36,22
2015-02-01,44,18
2015-03-01,39,12
2015-04-01,29,31
2015-05-01,39,19
2015-06-01,17,21
2015-07-01,19,24
2015-08-01,23,33
2015-09-01,28,29
2015-10-01,40,25
2015-11-01,29,37
2015-12-01,36,26
2016-01-01,17,18
2016-02-01,20,23
2016-03-01,28,24
2016-04-01,29,22
2016-05-01,9,33
2016-06-01,12,35
2016-07-01,31,27
2016-08-01,26,19
2016-09-01,30,25
2016-10-01,37,26
2016-11-01,22,21
2016-12-01,30,25
2017-01-01,14,31
