date,change Facebook privacy settings,how to change facebook privacy settings
2011-01-01,22,15
2011-02-01,19,16
2011-03-01,25,14
2011-04-01,20,6
2011-05-01,28,11
2011-06-01,25,16
2011-07-01,19,15
2011-08-01,29,16
2011-09-01,76,47
2011-10-01,57,47
2011-11-01,57,37
2011-12-01,53,34
2012-01-01,44,28
2012-02-01,50,36
2012-03-01,40,28
2012-04-01,49,33
2012-05-01,50,29
2012-06-01,51,33
2012-07-01,46,28
2012-08-01,77,43
2012-09-01,100,65
2012-10-01,98,58
2012-11-01,73,47
2012-12-01,64,42
2013-01-01,68,37
2013-02-01,57,41
2013-03-01,60,33
2013-04-01,49,29
2013-05-01,48,34
2013-06-01,55,30
2013-07-01,60,36
2013-08-01,59,33
2013-09-01,44,32
2013-10-01,69,34
2013-11-01,50,29
2013-12-01,48,23
2014-01-01,46,32
2014-02-01,38,23
2014-03-01,39,22
2014-04-01,41,27
2014-05-01,41,22
2014-06-01,48,27
2014-07-01,42,24
2014-08-01,46,32
2014-09-01,38,24
2014-10-01,43,30
2014-11-01,39,23
2014-12-01,36,20
2015-01-01,46,25
2015-02-01,33,24
2015-03-01,35,21
2015-04-01,32,20
2015-05-01,35,22
2015-06-01,39,26
2015-07-01,35,22
2015-08-01,37,20
2015-09-01,44,19
2015-10-01,29,19
2015-11-01,33,21
2015-12-01,31,23
2016-01-01,35,22
2016-02-01,32,23
2016-03-01,28,17
2016-04-01,32,19
2016-05-01,33,20
2016-06-01,37,24
2016-07-01,36,22
2016-08-01,35,22
2016-09-01,31,21
2016-10-01,40,18
2016-11-01,33,21
2016-12-01,28,19
2017-01-01,34,18
