date,change fb name,how to change facebook privacy settings
2011-01-01,16,8
2011-02-01,18,8
2011-03-01,17,9
2011-04-01,21,3
2011-05-01,22,6
2011-06-01,23,9
2011-07-01,28,5
2011-08-01,30,9
2011-09-01,29,26
2011-10-01,24,21
2011-11-01,29,22
2011-12-01,31,19
2012-01-01,33,16
2012-02-01,26,18
2012-03-01,29,17
2012-04-01,30,16
2012-05-01,29,16
2012-06-01,30,19
2012-07-01,35,15
2012-08-01,37,25
2012-09-01,39,37
2012-10-01,31,36
2012-11-01,34,24
2012-12-01,37,24
2013-01-01,34,21
2013-02-01,35,21
2013-03-01,31,17
2013-04-01,36,16
2013-05-01,33,18
2013-06-01,41,20
2013-07-01,37,19
2013-08-01,42,20
2013-09-01,38,17
2013-10-01,35,17
2013-11-01,38,17
2013-12-01,40,15
2014-01-01,50,17
2014-02-01,45,13
2014-03-01,51,12
2014-04-01,51,14
2014-05-01,53,12
2014-06-01,65,14
2014-07-01,70,14
2014-08-01,65,17
2014-09-01,63,13
2014-10-01,62,14
2014-11-01,65,11
2014-12-01,67,12
2015-01-01,71,15
2015-02-01,74,12
2015-03-01,70,13
2015-04-01,75,12
2015-05-01,81,14
2015-06-01,80,11
2015-07-01,84,14
2015-08-01,82,13
2015-09-01,78,12
2015-10-01,70,11
2015-11-01,65,14
2015-12-01,81,11
2016-01-01,86,14
2016-02-01,73,13
2016-03-01,76,9
2016-04-01,79,9
2016-05-01,76,12
2016-06-01,86,13
2016-07-01,94,11
2016-08-01,84,11
2016-09-01,82,12
2016-10-01,84,11
2016-11-01,86,12
2016-12-01,89,9
2017-01-01,100,11
