date,Changing facebook privacy,how to change facebook privacy settings
2011-01-01,5,23
2011-02-01,7,24
2011-03-01,8,21
2011-04-01,4,10
2011-05-01,6,16
2011-06-01,6,24
2011-07-01,6,24
2011-08-01,7,25
2011-09-01,11,72
2011-10-01,13,72
2011-11-01,6,57
2011-12-01,9,52
2012-01-01,15,43
2012-02-01,10,55
2012-03-01,14,44
2012-04-01,9,51
2012-05-01,6,44
2012-06-01,7,50
2012-07-01,5,43
2012-08-01,9,67
2012-09-01,10,100
2012-10-01,8,89
2012-11-01,11,72
2012-12-01,13,65
2013-01-01,11,56
2013-02-01,15,63
2013-03-01,17,51
2013-04-01,10,44
2013-05-01,11,52
2013-06-01,9,47
2013-07-01,15,55
2013-08-01,10,51
2013-09-01,16,49
2013-10-01,32,52
2013-11-01,10,44
2013-12-01,5,35
2014-01-01,10,50
2014-02-01,8,36
2014-03-01,8,34
2014-04-01,6,42
2014-05-01,7,33
2014-06-01,6,42
2014-07-01,7,38
2014-08-01,7,49
2014-09-01,8,38
2014-10-01,7,46
2014-11-01,10,35
2014-12-01,10,31
2015-01-01,29,38
2015-02-01,4,37
2015-03-01,5,33
2015-04-01,3,31
2015-05-01,8,34
2015-06-01,7,40
2015-07-01,6,35
2015-08-01,6,31
2015-09-01,49,29
2015-10-01,10,30
2015-11-01,6,32
2015-12-01,5,36
2016-01-01,6,34
2016-02-01,4,35
2016-03-01,6,27
2016-04-01,4,29
2016-05-01,4,30
2016-06-01,35,36
2016-07-01,31,34
2016-08-01,5,34
2016-09-01,10,32
2016-10-01,50,28
2016-11-01,6,32
2016-12-01,4,29
2017-01-01,7,27
