date,change fb privacy,how to change facebook privacy settings
2011-01-01,7,21
2011-02-01,4,22
2011-03-01,3,23
2011-04-01,0,9
2011-05-01,4,15
2011-06-01,3,25
2011-07-01,2,14
2011-08-01,3,24
2011-09-01,8,72
2011-10-01,7,58
2011-11-01,5,60
2011-12-01,7,51
2012-01-01,7,43
2012-02-01,7,50
2012-03-01,8,47
2012-04-01,2,44
2012-05-01,4,44
2012-06-01,5,52
2012-07-01,6,41
2012-08-01,5,68
2012-09-01,11,100
2012-10-01,12,99
2012-11-01,9,65
2012-12-01,10,66
2013-01-01,8,58
2013-02-01,11,57
2013-03-01,12,46
2013-04-01,3,45
2013-05-01,9,50
2013-06-01,8,54
2013-07-01,11,51
2013-08-01,10,54
2013-09-01,9,48
2013-10-01,13,47
2013-11-01,12,46
2013-12-01,10,40
2014-01-01,7,46
2014-02-01,8,36
2014-03-01,8,33
2014-04-01,10,38
2014-05-01,10,34
2014-06-01,11,38
2014-07-01,13,39
2014-08-01,13,46
2014-09-01,14,36
2014-10-01,11,38
2014-11-01,8,30
2014-12-01,10,32
2015-01-01,13,42
2015-02-01,11,34
2015-03-01,11,35
2015-04-01,14,33
2015-05-01,12,38
2015-06-01,17,29
2015-07-01,13,39
2015-08-01,14,36
2015-09-01,21,33
2015-10-01,9,30
2015-11-01,12,39
2015-12-01,8,30
2016-01-01,12,39
2016-02-01,13,35
2016-03-01,15,25
2016-04-01,9,25
2016-05-01,13,32
2016-06-01,21,35
2016-07-01,14,30
2016-08-01,15,31
2016-09-01,16,33
2016-10-01,18,31
2016-11-01,16,34
2016-12-01,16,26
2017-01-01,16,29
