date,privacy on facebook,how to change facebook privacy settings
2011-01-01,44,3
2011-02-01,46,4
2011-03-01,41,3
2011-04-01,43,1
2011-05-01,40,2
2011-06-01,45,4
2011-07-01,44,4
2011-08-01,55,4
2011-09-01,92,11
2011-10-01,82,11
2011-11-01,74,9
2011-12-01,68,8
2012-01-01,67,6
2012-02-01,68,8
2012-03-01,65,7
2012-04-01,62,8
2012-05-01,63,7
2012-06-01,86,8
2012-07-01,55,6
2012-08-01,76,10
2012-09-01,96,15
2012-10-01,100,13
2012-11-01,80,11
2012-12-01,76,10
2013-01-01,72,8
2013-02-01,65,9
2013-03-01,71,8
2013-04-01,59,7
2013-05-01,59,8
2013-06-01,59,7
2013-07-01,67,8
2013-08-01,59,8
2013-09-01,63,7
2013-10-01,73,8
2013-11-01,53,7
2013-12-01,49,5
2014-01-01,55,7
2014-02-01,54,5
2014-03-01,48,5
2014-04-01,52,6
2014-05-01,52,5
2014-06-01,52,6
2014-07-01,51,6
2014-08-01,59,7
2014-09-01,56,6
2014-10-01,51,7
2014-11-01,50,5
2014-12-01,50,5
2015-01-01,65,6
2015-02-01,46,6
2015-03-01,44,5
2015-04-01,46,5
2015-05-01,42,5
2015-06-01,44,6
2015-07-01,46,5
2015-08-01,45,5
2015-09-01,67,4
2015-10-01,45,4
2015-11-01,41,5
2015-12-01,41,5
2016-01-01,41,5
2016-02-01,44,5
2016-03-01,44,4
2016-04-01,40,4
2016-05-01,41,5
2016-06-01,51,5
2016-07-01,47,5
2016-08-01,42,5
2016-09-01,49,5
2016-10-01,56,4
2016-11-01,43,5
2016-12-01,41,4
2017-01-01,44,4
