date,privacy settings facebook,how to change facebook privacy settings
2011-01-01,48,3
2011-02-01,38,3
2011-03-01,41,3
2011-04-01,38,1
2011-05-01,43,2
2011-06-01,48,3
2011-07-01,38,3
2011-08-01,59,4
2011-09-01,100,10
2011-10-01,73,10
2011-11-01,62,8
2011-12-01,63,7
2012-01-01,64,6
2012-02-01,60,8
2012-03-01,47,6
2012-04-01,55,7
2012-05-01,54,6
2012-06-01,53,7
2012-07-01,49,6
2012-08-01,65,9
2012-09-01,92,14
2012-10-01,89,13
2012-11-01,77,10
2012-12-01,77,9
2013-01-01,69,8
2013-02-01,73,9
2013-03-01,85,7
2013-04-01,54,6
2013-05-01,54,7
2013-06-01,54,7
2013-07-01,66,8
2013-08-01,51,7
2013-09-01,54,7
2013-10-01,74,7
2013-11-01,45,6
2013-12-01,39,5
2014-01-01,40,7
2014-02-01,37,5
2014-03-01,37,5
2014-04-01,37,6
2014-05-01,39,5
2014-06-01,38,6
2014-07-01,39,5
2014-08-01,43,7
2014-09-01,36,5
2014-10-01,34,7
2014-11-01,34,5
2014-12-01,37,4
2015-01-01,39,5
2015-02-01,30,5
2015-03-01,31,5
2015-04-01,33,4
2015-05-01,30,5
2015-06-01,30,6
2015-07-01,32,5
2015-08-01,33,4
2015-09-01,51,4
2015-10-01,31,4
2015-11-01,28,5
2015-12-01,25,5
2016-01-01,25,5
2016-02-01,25,5
2016-03-01,26,4
2016-04-01,25,4
2016-05-01,25,4
2016-06-01,32,5
2016-07-01,29,5
2016-08-01,24,5
2016-09-01,29,5
2016-10-01,28,4
2016-11-01,25,5
2016-12-01,24,4
2017-01-01,26,4
