date,remove youtube from iphone,how to delete a youtube account
2011-01-01,9,41
2011-02-01,6,34
2011-03-01,6,43
2011-04-01,6,42
2011-05-01,4,40
2011-06-01,7,56
2011-07-01,10,65
2011-08-01,9,56
2011-09-01,9,66
2011-10-01,16,54
2011-11-01,8,64
2011-12-01,15,76
2012-01-01,11,62
2012-02-01,11,54
2012-03-01,11,56
2012-04-01,13,72
2012-05-01,8,69
2012-06-01,12,90
2012-07-01,11,95
2012-08-01,15,91
2012-09-01,16,69
2012-10-01,16,56
2012-11-01,9,70
2012-12-01,14,76
2013-01-01,10,82
2013-02-01,13,88
2013-03-01,11,81
2013-04-01,13,76
2013-05-01,9,77
2013-06-01,9,83
2013-07-01,11,100
2013-08-01,9,96
2013-09-01,14,75
2013-10-01,15,63
2013-11-01,11,66
2013-12-01,14,69
2014-01-01,14,80
2014-02-01,13,66
2014-03-01,12,69
2014-04-01,13,67
2014-05-01,10,63
2014-06-01,11,65
2014-07-01,15,78
2014-08-01,19,80
2014-09-01,19,56
2014-10-01,16,54
2014-11-01,21,58
2014-12-01,20,58
2015-01-01,18,63
2015-02-01,13,47
2015-03-01,17,60
2015-04-01,18,51
2015-05-01,20,58
2015-06-01,16,63
2015-07-01,21,54
2015-08-01,17,59
2015-09-01,18,40
2015-10-01,15,42
2015-11-01,15,45
2015-12-01,13,51
2016-01-01,14,58
2016-02-01,10,47
2016-03-01,13,46
2016-04-01,10,40
2016-05-01,11,46
2016-06-01,13,48
2016-07-01,17,59
2016-08-01,14,45
2016-09-01,17,42
2016-10-01,18,42
2016-11-01,14,40
2016-12-01,17,52
2017-01-01,16,48
