date,how to delete youtube channel on phone,how to delete a youtube account
2011-01-01,0,37
2011-02-01,0,37
2011-03-01,0,46
2011-04-01,0,37
2011-05-01,0,38
2011-06-01,0,61
2011-07-01,0,70
2011-08-01,0,56
2011-09-01,0,67
2011-10-01,0,58
2011-11-01,0,63
2011-12-01,0,76
2012-01-01,0,62
2012-02-01,1,57
2012-03-01,1,56
2012-04-01,1,69
2012-05-01,1,70
2012-06-01,1,91
2012-07-01,1,98
2012-08-01,1,95
2012-09-01,1,69
2012-10-01,1,56
2012-11-01,1,71
2012-12-01,2,76
2013-01-01,2,81
2013-02-01,2,100
2013-03-01,1,82
2013-04-01,1,79
2013-05-01,1,81
2013-06-01,2,84
2013-07-01,2,97
2013-08-01,1,99
2013-09-01,1,78
2013-10-01,1,63
2013-11-01,1,68
2013-12-01,1,74
2014-01-01,1,88
2014-02-01,1,65
2014-03-01,1,73
2014-04-01,1,66
2014-05-01,1,68
2014-06-01,1,69
2014-07-01,1,80
2014-08-01,1,85
2014-09-01,1,56
2014-10-01,1,58
2014-11-01,1,59
2014-12-01,1,61
2015-01-01,2,63
2015-02-01,1,49
2015-03-01,1,59
2015-04-01,1,54
2015-05-01,1,62
2015-06-01,1,65
2015-07-01,1,56
2015-08-01,1,65
2015-09-01,2,40
2015-10-01,2,45
2015-11-01,2,43
2015-12-01,1,53
2016-01-01,1,62
2016-02-01,2,45
2016-03-01,1,50
2016-04-01,1,42
2016-05-01,1,47
2016-06-01,2,48
2016-07-01,1,63
2016-08-01,2,48
2016-09-01,3,44
2016-10-01,2,45
2016-11-01,1,39
2016-12-01,3,52
2017-01-01,5,48
