date,how to delete youtube account on ipad,how to delete a youtube account
2011-01-01,0,41
2011-02-01,1,34
2011-03-01,1,43
2011-04-01,1,42
2011-05-01,1,40
2011-06-01,2,56
2011-07-01,1,65
2011-08-01,1,56
2011-09-01,1,66
2011-10-01,1,54
2011-11-01,1,64
2011-12-01,1,76
2012-01-01,3,62
2012-02-01,1,54
2012-03-01,1,56
2012-04-01,1,72
2012-05-01,2,69
2012-06-01,2,90
2012-07-01,2,95
2012-08-01,3,91
2012-09-01,2,69
2012-10-01,1,56
2012-11-01,3,70
2012-12-01,2,76
2013-01-01,2,82
2013-02-01,4,88
2013-03-01,2,81
2013-04-01,4,76
2013-05-01,4,77
2013-06-01,3,83
2013-07-01,4,100
2013-08-01,3,96
2013-09-01,3,75
2013-10-01,2,63
2013-11-01,2,66
2013-12-01,4,69
2014-01-01,2,80
2014-02-01,2,66
2014-03-01,3,69
2014-04-01,1,67
2014-05-01,2,63
2014-06-01,3,65
2014-07-01,4,78
2014-08-01,5,80
2014-09-01,4,56
2014-10-01,2,54
2014-11-01,2,58
2014-12-01,3,58
2015-01-01,3,63
2015-02-01,2,47
2015-03-01,1,60
2015-04-01,2,51
2015-05-01,2,58
2015-06-01,2,63
2015-07-01,2,54
2015-08-01,2,59
2015-09-01,2,40
2015-10-01,2,42
2015-11-01,1,45
2015-12-01,2,51
2016-01-01,2,58
2016-02-01,2,47
2016-03-01,4,46
2016-04-01,2,40
2016-05-01,1,46
2016-06-01,2,48
2016-07-01,2,59
2016-08-01,1,45
2016-09-01,1,42
2016-10-01,1,42
2016-11-01,2,40
2016-12-01,2,52
2017-01-01,2,48
