date,delete my twitter,delete twitter account,delete twitter,deleting twitter account,how do I delete my twitter account,how to delete my twitter account,how to delete twitter account,how to delete twitter,How to quit Twitter,Remove twitter,Total
1/1/11,4,13,38,1,1,1,7,20,0,20,105
2/1/11,4,12,41,0,1,1,8,18,0,20,105
3/1/11,5,16,48,1,1,1,8,22,0,25,127
4/1/11,5,16,51,1,1,1,8,24,1,24,132
5/1/11,6,20,55,1,1,1,11,28,1,25,149
6/1/11,7,22,62,1,1,1,10,31,1,27,163
7/1/11,8,27,77,1,1,1,14,38,1,26,194
8/1/11,9,23,70,1,1,2,11,35,1,28,181
9/1/11,7,24,67,1,1,1,11,34,1,25,172
10/1/11,7,26,70,1,1,1,14,41,0,27,188
11/1/11,9,31,84,1,2,2,17,44,1,28,219
12/1/11,10,34,94,1,2,1,17,48,1,35,243
1/1/12,11,37,100,1,2,2,21,54,1,34,263
2/1/12,11,35,99,1,2,2,18,51,1,35,255
3/1/12,12,31,94,2,2,2,16,50,1,31,241
4/1/12,12,38,116,1,3,2,21,59,0,34,286
5/1/12,14,40,111,2,2,2,21,59,0,33,284
6/1/12,15,45,128,2,2,3,24,71,1,34,325
7/1/12,19,50,145,2,3,4,24,84,1,35,367
8/1/12,18,56,153,2,2,4,29,79,1,37,381
9/1/12,16,49,133,2,2,3,28,70,1,36,340
10/1/12,17,45,124,2,2,3,24,67,0,33,317
11/1/12,17,48,134,2,2,3,25,73,1,32,337
12/1/12,19,54,151,2,4,3,27,83,1,33,377
1/1/13,18,65,156,2,4,3,34,88,1,32,403
2/1/13,18,65,148,2,3,3,36,79,1,34,389
3/1/13,18,52,138,2,3,3,27,82,0,33,358
4/1/13,18,47,134,2,3,3,25,76,1,32,341
5/1/13,15,58,128,2,4,3,33,69,1,31,344
6/1/13,18,66,138,2,3,4,36,75,1,34,377
7/1/13,18,59,150,2,3,4,32,86,1,34,389
8/1/13,20,60,146,2,4,4,31,82,1,35,385
9/1/13,18,66,131,2,5,3,37,73,1,31,367
10/1/13,16,60,123,2,3,3,34,67,1,29,338
11/1/13,16,51,121,2,2,3,24,69,0,28,316
12/1/13,19,51,133,2,2,4,28,78,1,29,347
1/1/14,19,68,151,3,4,4,40,85,1,32,407
2/1/14,19,79,143,2,5,4,49,81,1,30,413
3/1/14,19,67,145,2,6,4,36,82,1,31,393
4/1/14,17,56,138,2,2,3,31,77,1,31,358
5/1/14,18,56,134,2,2,4,32,73,1,30,352
6/1/14,18,72,139,2,4,4,46,77,1,29,392
7/1/14,18,79,148,2,5,4,50,85,1,31,423
8/1/14,21,79,153,2,4,4,43,85,1,32,424
9/1/14,18,69,138,3,3,4,40,75,1,31,382
10/1/14,15,65,133,2,3,4,39,75,0,29,365
11/1/14,17,66,134,2,4,4,39,79,0,28,373
12/1/14,17,74,145,2,4,4,43,83,1,26,399
1/1/15,20,84,156,3,5,5,47,87,0,30,437
2/1/15,17,74,145,3,4,4,42,84,1,29,403
3/1/15,16,71,141,2,3,3,42,84,0,30,392
4/1/15,17,72,145,2,4,4,43,88,1,29,405
5/1/15,18,69,145,2,5,5,42,86,1,29,402
6/1/15,18,76,150,2,4,5,50,89,0,29,423
7/1/15,20,83,170,2,3,5,49,100,1,30,463
8/1/15,17,76,163,2,4,5,47,98,1,29,442
9/1/15,17,70,145,2,4,4,44,87,0,29,402
10/1/15,16,67,134,2,4,4,43,74,1,27,372
11/1/15,16,68,139,2,2,4,41,77,0,26,375
12/1/15,16,68,141,2,2,4,41,84,0,28,386
1/1/16,18,72,150,2,4,4,43,88,0,29,410
2/1/16,14,68,134,2,3,4,40,78,1,28,372
3/1/16,15,67,133,2,3,4,41,78,1,26,370
4/1/16,16,63,131,2,2,5,38,74,0,27,358
5/1/16,16,62,133,2,2,4,37,80,0,27,363
6/1/16,17,77,160,2,3,5,45,91,0,30,430
7/1/16,18,85,160,2,4,6,52,94,1,31,453
8/1/16,17,77,150,2,3,5,50,85,1,28,418
9/1/16,16,65,139,2,2,4,41,80,1,26,376
10/1/16,15,64,131,1,2,5,39,76,0,26,359
11/1/16,15,69,136,2,4,5,44,80,1,28,384
12/1/16,15,76,136,2,3,5,52,79,1,26,395
1/1/17,19,83,163,3,3,5,51,93,1,29,450
