date,delete account instagram,Get rid of Instagram,how do i delete instagram,How to delete a app,how to delete instagram,how to uninstall instagram,Total
1/1/11,0,0,0,5,0,0,5
2/1/11,0,0,0,5,0,0,5
3/1/11,0,0,0,4,0,0,4
4/1/11,0,0,0,5,0,0,5
5/1/11,0,0,0,5,0,0,5
6/1/11,0,0,0,6,2,0,8
7/1/11,1,0,0,7,2,0,10
8/1/11,1,0,0,6,2,0,9
9/1/11,1,0,0,4,2,0,7
10/1/11,1,0,0,5,2,0,8
11/1/11,1,0,0,5,3,0,9
12/1/11,2,0,0,7,4,0,13
1/1/12,3,0,1,7,5,0,16
2/1/12,3,1,1,6,7,0,18
3/1/12,4,1,1,6,7,0,19
4/1/12,13,1,2,6,22,0,44
5/1/12,11,2,2,6,23,0,44
6/1/12,13,2,3,7,31,0,56
7/1/12,15,2,4,7,40,0,68
8/1/12,14,3,4,9,44,0,74
9/1/12,14,2,4,7,40,0,67
10/1/12,15,3,4,8,42,0,72
11/1/12,15,3,4,8,49,0,79
12/1/12,30,3,9,10,79,0,131
1/1/13,33,3,7,10,69,0,122
2/1/13,34,4,7,9,68,0,122
3/1/13,21,4,6,8,68,0,107
4/1/13,20,5,6,8,65,0,104
5/1/13,24,5,6,8,60,0,103
6/1/13,35,6,6,8,67,0,122
7/1/13,25,7,6,9,74,1,122
8/1/13,25,6,7,9,70,1,118
9/1/13,23,5,5,9,59,0,101
10/1/13,24,4,5,9,53,0,95
11/1/13,20,5,5,8,54,0,92
12/1/13,20,5,6,11,66,0,108
1/1/14,27,5,7,10,69,0,118
2/1/14,34,5,5,9,62,0,115
3/1/14,29,5,6,9,68,0,117
4/1/14,26,6,6,9,68,0,115
5/1/14,25,5,6,9,65,0,110
6/1/14,39,6,5,10,66,0,126
7/1/14,41,7,5,10,69,0,132
8/1/14,32,6,5,10,70,0,123
9/1/14,24,6,5,10,62,0,107
10/1/14,25,6,4,9,60,0,104
11/1/14,34,6,5,9,61,0,115
12/1/14,40,6,5,10,68,1,130
1/1/15,40,6,5,10,75,0,136
2/1/15,34,6,4,10,65,0,119
3/1/15,33,5,4,9,63,0,114
4/1/15,37,6,5,9,67,0,124
5/1/15,39,6,4,10,62,0,121
6/1/15,42,6,4,10,68,0,130
7/1/15,53,7,7,10,86,0,163
8/1/15,60,6,7,11,84,1,169
9/1/15,58,6,5,10,76,1,156
10/1/15,52,6,5,10,71,1,145
11/1/15,49,6,6,9,74,0,144
12/1/15,54,7,6,11,78,0,156
1/1/16,64,8,7,11,86,1,177
2/1/16,74,6,6,10,80,1,177
3/1/16,63,7,6,10,84,1,171
4/1/16,58,8,6,10,83,1,166
5/1/16,64,7,6,9,84,1,171
6/1/16,90,8,6,10,93,1,208
7/1/16,96,8,7,11,98,1,221
8/1/16,71,8,7,11,94,1,192
9/1/16,69,7,6,12,86,1,181
10/1/16,84,8,6,12,93,1,204
11/1/16,100,10,6,11,102,1,230
12/1/16,89,10,7,12,106,1,225
1/1/17,91,10,8,13,113,1,236
