date,Cancel facebook,delete a facebook account,Deleting Facebook,facebook delete,facebook removal,Facebook uninstall,how can I remove facebook,how do delete facebook,how do I delete facebook,how do I uninstall Facebook,How to close Facebook account,how to delete facebook,how to get rid of facebook account,how to remove facebook,Uninstall facebook,Total
1/1/11,9,6,7,112,7,4,1,18,8,0,1,61,0,23,4,261
2/1/11,8,5,6,106,7,3,1,16,7,0,1,57,0,22,3,242
3/1/11,8,5,6,97,7,3,1,15,7,0,1,56,0,22,3,231
4/1/11,8,4,6,106,8,3,1,15,7,0,1,59,0,23,3,244
5/1/11,8,5,6,107,7,3,1,16,8,0,1,60,0,24,3,249
6/1/11,9,5,6,117,7,3,1,17,8,0,1,65,0,24,3,266
7/1/11,10,6,7,128,8,4,1,19,8,0,2,74,0,28,4,299
8/1/11,12,7,8,148,7,4,1,22,10,0,3,87,1,29,4,343
9/1/11,11,6,8,146,7,4,1,21,10,0,3,85,1,30,4,337
10/1/11,9,7,8,148,6,4,1,21,10,0,3,85,0,28,4,334
11/1/11,8,8,7,153,6,4,1,23,11,0,4,91,0,26,4,346
12/1/11,10,8,8,168,6,4,2,26,13,0,4,100,1,44,5,399
1/1/12,11,8,9,170,7,4,2,27,13,0,4,98,1,44,4,402
2/1/12,10,8,8,168,6,3,2,27,13,0,4,100,0,45,4,398
3/1/12,10,8,7,165,6,3,2,26,12,0,4,98,0,48,3,392
4/1/12,9,5,6,153,7,3,2,23,11,0,3,90,0,53,3,368
5/1/12,8,5,6,143,6,3,2,20,10,0,3,85,0,42,3,336
6/1/12,9,5,6,148,6,3,1,22,10,0,3,85,0,38,3,339
7/1/12,9,7,7,148,7,3,2,22,10,0,3,84,0,36,3,341
8/1/12,9,7,8,158,7,4,2,23,12,0,3,90,0,41,4,368
9/1/12,8,6,7,155,6,3,2,24,13,0,3,90,0,32,3,352
10/1/12,9,5,6,138,7,3,1,20,11,0,3,78,0,29,3,313
11/1/12,8,6,6,128,6,3,1,19,10,0,3,72,0,26,3,291
12/1/12,8,6,6,143,6,4,1,20,10,0,3,81,0,27,4,319
1/1/13,8,5,6,139,7,3,1,21,11,0,3,78,0,25,3,310
2/1/13,8,5,6,129,7,3,1,20,11,0,3,72,0,24,3,292
3/1/13,8,6,6,123,7,3,1,17,9,0,3,66,0,26,3,278
4/1/13,7,5,5,117,7,3,1,16,8,0,3,65,0,25,4,266
5/1/13,7,4,5,109,7,3,1,14,8,0,3,60,0,24,3,248
6/1/13,7,4,5,111,7,3,1,14,8,0,2,61,0,23,3,249
7/1/13,8,6,5,112,7,3,1,14,8,0,3,63,0,24,3,257
8/1/13,7,5,5,112,7,3,1,14,8,0,3,62,0,24,3,254
9/1/13,7,4,5,106,6,3,1,13,7,0,2,58,0,23,3,238
10/1/13,7,4,5,102,5,3,1,13,7,0,2,56,0,21,3,229
11/1/13,7,4,4,100,5,3,1,13,7,0,2,52,0,20,3,221
12/1/13,7,6,4,102,6,3,1,13,8,0,2,56,0,21,3,232
1/1/14,7,5,5,111,6,3,1,14,8,0,2,60,0,21,3,246
2/1/14,7,4,5,104,6,3,1,13,7,0,2,55,0,21,3,231
3/1/14,6,4,4,100,6,3,1,12,7,0,2,53,0,21,3,222
4/1/14,6,5,4,102,5,3,1,12,7,0,2,52,0,21,3,223
5/1/14,6,5,4,102,6,3,1,12,7,0,2,54,0,21,3,226
6/1/14,6,4,5,106,6,3,1,12,7,0,2,57,0,21,3,233
7/1/14,7,4,5,111,6,3,1,12,7,0,2,58,0,21,3,240
8/1/14,7,4,5,116,6,6,1,13,8,1,2,63,0,23,6,261
9/1/14,6,4,5,106,5,4,1,12,7,0,2,57,0,22,4,235
10/1/14,6,4,4,97,5,3,1,11,6,0,2,52,0,21,3,215
11/1/14,6,4,4,94,5,3,1,10,6,0,2,50,0,20,3,208
12/1/14,6,5,4,100,5,3,1,11,6,0,2,53,0,21,3,220
1/1/15,6,5,4,102,5,3,1,11,6,0,2,54,0,21,3,223
2/1/15,6,4,4,95,5,3,1,10,6,0,2,52,0,20,3,211
3/1/15,6,4,5,94,5,2,1,10,6,0,2,49,0,20,2,206
4/1/15,6,5,4,94,5,2,1,10,6,0,2,48,0,20,2,205
5/1/15,6,4,4,95,5,2,1,10,6,0,2,50,0,20,2,207
6/1/15,6,4,4,100,5,2,1,11,6,0,2,53,0,21,2,217
7/1/15,7,5,4,106,5,3,1,11,7,0,2,57,0,21,3,232
8/1/15,6,5,4,102,5,3,1,11,7,0,2,55,0,21,3,225
9/1/15,6,4,4,95,5,2,1,11,6,0,2,50,0,21,2,209
10/1/15,6,4,4,94,4,2,1,10,6,0,2,50,0,19,2,204
11/1/15,6,4,4,94,4,2,1,10,6,0,2,48,0,20,2,203
12/1/15,6,4,4,95,4,3,1,10,6,0,2,51,0,20,3,209
1/1/16,7,5,4,100,5,2,1,11,7,0,2,54,0,21,3,222
2/1/16,6,5,4,94,5,2,1,10,6,0,2,48,0,19,2,204
3/1/16,6,4,4,94,5,2,1,10,6,0,2,50,0,19,2,205
4/1/16,6,4,4,97,5,2,1,10,6,0,2,51,0,20,2,210
5/1/16,6,5,4,95,5,2,1,10,6,0,2,51,0,20,2,209
6/1/16,7,5,5,106,5,2,1,11,7,0,2,54,0,21,2,228
7/1/16,7,5,5,111,4,2,1,11,7,0,2,57,0,22,2,236
8/1/16,7,5,4,106,4,2,1,11,7,0,2,54,0,21,2,226
9/1/16,6,5,4,104,4,2,1,10,6,0,2,54,0,21,2,221
10/1/16,6,5,4,100,4,2,1,10,6,0,2,53,0,21,2,216
11/1/16,6,5,4,106,4,2,1,11,6,0,2,55,0,21,2,225
12/1/16,6,5,5,102,4,2,1,10,6,0,2,52,0,20,2,217
1/1/17,6,5,5,111,4,3,1,11,7,0,2,57,0,22,3,237
