date,most private browser
2011-01-01,32
2011-02-01,30
2011-03-01,40
2011-04-01,21
2011-05-01,27
2011-06-01,63
2011-07-01,52
2011-08-01,52
2011-09-01,19
2011-10-01,54
2011-11-01,18
2011-12-01,47
2012-01-01,60
2012-02-01,80
2012-03-01,80
2012-04-01,59
2012-05-01,24
2012-06-01,32
2012-07-01,40
2012-08-01,37
2012-09-01,31
2012-10-01,57
2012-11-01,14
2012-12-01,48
2013-01-01,31
2013-02-01,58
2013-03-01,39
2013-04-01,61
2013-05-01,42
2013-06-01,79
2013-07-01,60
2013-08-01,68
2013-09-01,46
2013-10-01,36
2013-11-01,32
2013-12-01,73
2014-01-01,56
2014-02-01,45
2014-03-01,33
2014-04-01,65
2014-05-01,81
2014-06-01,47
2014-07-01,79
2014-08-01,63
2014-09-01,100
2014-10-01,65
2014-11-01,54
2014-12-01,77
2015-01-01,79
2015-02-01,39
2015-03-01,64
2015-04-01,87
2015-05-01,67
2015-06-01,50
2015-07-01,82
2015-08-01,77
2015-09-01,59
2015-10-01,75
2015-11-01,90
2015-12-01,78
2016-01-01,90
2016-02-01,51
2016-03-01,66
2016-04-01,65
2016-05-01,81
2016-06-01,68
2016-07-01,59
2016-08-01,52
2016-09-01,67
2016-10-01,72
2016-11-01,67
2016-12-01,58
2017-01-01,85
