date,Youtube Incognito,Youtube Privacy
2011-01-01,19,50
2011-02-01,22,54
2011-03-01,21,48
2011-04-01,21,50
2011-05-01,22,38
2011-06-01,21,48
2011-07-01,24,37
2011-08-01,24,43
2011-09-01,18,72
2011-10-01,15,65
2011-11-01,23,65
2011-12-01,20,60
2012-01-01,15,75
2012-02-01,20,83
2012-03-01,18,73
2012-04-01,21,56
2012-05-01,17,51
2012-06-01,20,42
2012-07-01,21,56
2012-08-01,23,51
2012-09-01,22,53
2012-10-01,26,56
2012-11-01,27,61
2012-12-01,24,67
2013-01-01,26,63
2013-02-01,24,59
2013-03-01,28,64
2013-04-01,29,50
2013-05-01,28,47
2013-06-01,29,49
2013-07-01,28,40
2013-08-01,31,43
2013-09-01,27,44
2013-10-01,32,51
2013-11-01,100,55
2013-12-01,36,47
2014-01-01,41,51
2014-02-01,51,53
2014-03-01,33,52
2014-04-01,33,53
2014-05-01,32,54
2014-06-01,31,45
2014-07-01,33,40
2014-08-01,32,44
2014-09-01,35,51
2014-10-01,35,51
2014-11-01,36,52
2014-12-01,38,50
2015-01-01,48,58
2015-02-01,37,50
2015-03-01,39,58
2015-04-01,38,52
2015-05-01,39,52
2015-06-01,39,54
2015-07-01,39,50
2015-08-01,37,58
2015-09-01,40,60
2015-10-01,39,55
2015-11-01,42,58
2015-12-01,39,54
2016-01-01,52,55
2016-02-01,42,51
2016-03-01,38,59
2016-04-01,35,58
2016-05-01,39,52
2016-06-01,42,49
2016-07-01,39,46
2016-08-01,41,52
2016-09-01,44,52
2016-10-01,44,54
2016-11-01,45,50
2016-12-01,42,46
2017-01-01,46,53
