date,how to make twitter private on app,private twitter account
2011-01-01,1,9
2011-02-01,1,7
2011-03-01,1,13
2011-04-01,1,16
2011-05-01,1,19
2011-06-01,1,23
2011-07-01,2,21
2011-08-01,1,25
2011-09-01,1,23
2011-10-01,1,42
2011-11-01,1,57
2011-12-01,1,37
2012-01-01,1,25
2012-02-01,2,24
2012-03-01,1,29
2012-04-01,1,35
2012-05-01,1,40
2012-06-01,1,41
2012-07-01,1,44
2012-08-01,1,45
2012-09-01,2,37
2012-10-01,2,45
2012-11-01,2,43
2012-12-01,1,54
2013-01-01,3,60
2013-02-01,6,69
2013-03-01,4,61
2013-04-01,6,54
2013-05-01,8,64
2013-06-01,11,75
2013-07-01,6,100
2013-08-01,4,73
2013-09-01,6,79
2013-10-01,4,66
2013-11-01,7,75
2013-12-01,8,78
2014-01-01,15,83
2014-02-01,19,72
2014-03-01,12,95
2014-04-01,10,94
2014-05-01,10,69
2014-06-01,12,66
2014-07-01,14,81
2014-08-01,9,80
2014-09-01,7,71
2014-10-01,8,65
2014-11-01,7,65
2014-12-01,6,74
2015-01-01,4,66
2015-02-01,3,51
2015-03-01,3,53
2015-04-01,3,52
2015-05-01,5,52
2015-06-01,5,49
2015-07-01,5,56
2015-08-01,6,61
2015-09-01,6,57
2015-10-01,4,51
2015-11-01,4,58
2015-12-01,2,51
2016-01-01,3,57
2016-02-01,2,57
2016-03-01,1,59
2016-04-01,1,54
2016-05-01,1,46
2016-06-01,1,44
2016-07-01,3,51
2016-08-01,0,50
2016-09-01,1,43
2016-10-01,1,39
2016-11-01,1,42
2016-12-01,2,43
2017-01-01,2,48
