date,private twitter account
2011-01-01,9
2011-02-01,7
2011-03-01,13
2011-04-01,16
2011-05-01,19
2011-06-01,23
2011-07-01,21
2011-08-01,25
2011-09-01,23
2011-10-01,42
2011-11-01,57
2011-12-01,37
2012-01-01,25
2012-02-01,24
2012-03-01,29
2012-04-01,35
2012-05-01,40
2012-06-01,41
2012-07-01,44
2012-08-01,45
2012-09-01,37
2012-10-01,45
2012-11-01,43
2012-12-01,54
2013-01-01,60
2013-02-01,69
2013-03-01,61
2013-04-01,54
2013-05-01,64
2013-06-01,75
2013-07-01,100
2013-08-01,73
2013-09-01,79
2013-10-01,66
2013-11-01,75
2013-12-01,78
2014-01-01,83
2014-02-01,72
2014-03-01,95
2014-04-01,94
2014-05-01,69
2014-06-01,66
2014-07-01,81
2014-08-01,80
2014-09-01,71
2014-10-01,65
2014-11-01,65
2014-12-01,74
2015-01-01,66
2015-02-01,51
2015-03-01,53
2015-04-01,52
2015-05-01,52
2015-06-01,49
2015-07-01,56
2015-08-01,61
2015-09-01,57
2015-10-01,51
2015-11-01,58
2015-12-01,51
2016-01-01,57
2016-02-01,57
2016-03-01,59
2016-04-01,54
2016-05-01,46
2016-06-01,44
2016-07-01,51
2016-08-01,50
2016-09-01,43
2016-10-01,39
2016-11-01,42
2016-12-01,43
2017-01-01,48
