date,how to delete instagram,delete account instagram
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,1,1
2011-08-01,1,1
2011-09-01,1,1
2011-10-01,1,1
2011-11-01,2,1
2011-12-01,3,2
2012-01-01,4,3
2012-02-01,5,3
2012-03-01,7,4
2012-04-01,20,11
2012-05-01,20,9
2012-06-01,27,12
2012-07-01,34,13
2012-08-01,37,12
2012-09-01,35,13
2012-10-01,37,13
2012-11-01,43,13
2012-12-01,69,26
2013-01-01,61,30
2013-02-01,60,31
2013-03-01,58,19
2013-04-01,55,18
2013-05-01,53,22
2013-06-01,60,32
2013-07-01,64,22
2013-08-01,60,22
2013-09-01,52,21
2013-10-01,46,21
2013-11-01,47,18
2013-12-01,58,18
2014-01-01,61,24
2014-02-01,54,29
2014-03-01,59,26
2014-04-01,60,23
2014-05-01,56,23
2014-06-01,58,34
2014-07-01,62,37
2014-08-01,62,27
2014-09-01,55,22
2014-10-01,52,22
2014-11-01,54,29
2014-12-01,60,35
2015-01-01,67,35
2015-02-01,57,29
2015-03-01,57,30
2015-04-01,57,33
2015-05-01,55,35
2015-06-01,60,38
2015-07-01,75,47
2015-08-01,73,52
2015-09-01,67,51
2015-10-01,63,47
2015-11-01,65,43
2015-12-01,69,47
2016-01-01,75,56
2016-02-01,70,65
2016-03-01,74,55
2016-04-01,73,50
2016-05-01,74,57
2016-06-01,82,79
2016-07-01,85,85
2016-08-01,83,63
2016-09-01,75,62
2016-10-01,81,75
2016-11-01,91,87
2016-12-01,94,78
2017-01-01,100,80
