date,how to remove google account from computer
2011-01-01,14
2011-02-01,23
2011-03-01,13
2011-04-01,13
2011-05-01,14
2011-06-01,18
2011-07-01,22
2011-08-01,26
2011-09-01,13
2011-10-01,16
2011-11-01,12
2011-12-01,18
2012-01-01,11
2012-02-01,11
2012-03-01,11
2012-04-01,11
2012-05-01,26
2012-06-01,11
2012-07-01,21
2012-08-01,18
2012-09-01,32
2012-10-01,16
2012-11-01,10
2012-12-01,19
2013-01-01,15
2013-02-01,16
2013-03-01,9
2013-04-01,13
2013-05-01,8
2013-06-01,12
2013-07-01,23
2013-08-01,13
2013-09-01,13
2013-10-01,36
2013-11-01,44
2013-12-01,30
2014-01-01,30
2014-02-01,41
2014-03-01,32
2014-04-01,51
2014-05-01,31
2014-06-01,34
2014-07-01,31
2014-08-01,46
2014-09-01,45
2014-10-01,30
2014-11-01,47
2014-12-01,26
2015-01-01,46
2015-02-01,15
2015-03-01,64
2015-04-01,73
2015-05-01,42
2015-06-01,38
2015-07-01,52
2015-08-01,56
2015-09-01,48
2015-10-01,46
2015-11-01,27
2015-12-01,61
2016-01-01,68
2016-02-01,74
2016-03-01,46
2016-04-01,54
2016-05-01,68
2016-06-01,66
2016-07-01,100
2016-08-01,43
2016-09-01,95
2016-10-01,82
2016-11-01,91
2016-12-01,70
2017-01-01,99
