date,google accounts
2011-01-01,78
2011-02-01,78
2011-03-01,73
2011-04-01,73
2011-05-01,73
2011-06-01,74
2011-07-01,88
2011-08-01,72
2011-09-01,72
2011-10-01,72
2011-11-01,72
2011-12-01,68
2012-01-01,69
2012-02-01,66
2012-03-01,64
2012-04-01,64
2012-05-01,63
2012-06-01,64
2012-07-01,67
2012-08-01,70
2012-09-01,69
2012-10-01,68
2012-11-01,64
2012-12-01,70
2013-01-01,69
2013-02-01,71
2013-03-01,69
2013-04-01,70
2013-05-01,70
2013-06-01,72
2013-07-01,77
2013-08-01,79
2013-09-01,76
2013-10-01,83
2013-11-01,87
2013-12-01,89
2014-01-01,95
2014-02-01,91
2014-03-01,91
2014-04-01,86
2014-05-01,88
2014-06-01,88
2014-07-01,90
2014-08-01,92
2014-09-01,97
2014-10-01,93
2014-11-01,91
2014-12-01,95
2015-01-01,93
2015-02-01,94
2015-03-01,94
2015-04-01,95
2015-05-01,97
2015-06-01,95
2015-07-01,91
2015-08-01,92
2015-09-01,100
2015-10-01,92
2015-11-01,85
2015-12-01,89
2016-01-01,88
2016-02-01,91
2016-03-01,86
2016-04-01,83
2016-05-01,88
2016-06-01,83
2016-07-01,90
2016-08-01,92
2016-09-01,95
2016-10-01,89
2016-11-01,88
2016-12-01,88
2017-01-01,89
