date,anon browsing,browse anonymous,How to browse anonymously,how to browse privately,incognito browser,private mode browser,Total
1/1/11,17,86,40,23,100,42,308
2/1/11,18,87,27,27,84,27,270
3/1/11,22,92,35,16,123,32,320
4/1/11,9,93,26,32,106,39,305
5/1/11,14,97,24,16,123,38,312
6/1/11,19,95,53,29,167,42,405
7/1/11,11,105,55,27,189,27,414
8/1/11,12,70,52,39,156,49,378
9/1/11,0,73,48,23,112,56,312
10/1/11,14,63,50,38,134,50,349
11/1/11,7,83,29,22,223,39,403
12/1/11,0,86,38,25,217,40,406
1/1/12,13,88,55,35,173,39,403
2/1/12,7,70,70,27,167,43,384
3/1/12,11,88,56,28,178,49,410
4/1/12,13,72,67,16,189,40,397
5/1/12,6,71,57,16,156,52,358
6/1/12,15,50,56,30,228,54,433
7/1/12,6,70,77,23,195,40,411
8/1/12,6,81,64,42,223,59,475
9/1/12,9,75,65,44,173,46,412
10/1/12,14,59,55,23,239,47,437
11/1/12,9,78,61,25,223,50,446
12/1/12,15,60,54,25,245,60,459
1/1/13,8,70,68,35,256,50,487
2/1/13,13,48,54,29,234,42,420
3/1/13,12,56,69,22,262,57,478
4/1/13,0,66,64,17,245,54,446
5/1/13,8,57,68,20,295,37,485
6/1/13,23,66,61,31,306,61,548
7/1/13,70,64,46,41,323,51,595
8/1/13,41,62,70,49,345,51,618
9/1/13,18,42,65,32,323,58,538
10/1/13,11,61,49,38,334,54,547
11/1/13,10,78,42,43,378,74,625
12/1/13,6,59,69,78,373,77,662
1/1/14,9,65,66,53,428,62,683
2/1/14,12,55,79,31,373,64,614
3/1/14,12,61,62,40,389,69,633
4/1/14,17,57,84,24,317,53,552
5/1/14,11,60,55,40,323,51,540
6/1/14,15,48,80,43,384,60,630
7/1/14,10,73,100,43,378,60,664
8/1/14,5,57,67,30,434,75,668
9/1/14,13,31,61,40,362,97,604
10/1/14,5,47,77,53,423,71,676
11/1/14,9,48,59,59,434,76,685
12/1/14,6,49,67,54,484,61,721
1/1/15,6,50,77,74,467,74,748
2/1/15,8,45,57,36,423,70,639
3/1/15,6,53,63,38,373,66,599
4/1/15,4,40,77,41,467,70,699
5/1/15,4,34,59,34,462,73,666
6/1/15,6,30,39,42,428,83,628
7/1/15,9,44,64,74,473,69,733
8/1/15,10,44,99,45,500,82,780
9/1/15,4,38,74,40,434,64,654
10/1/15,4,36,72,46,450,84,692
11/1/15,4,39,53,52,450,93,691
12/1/15,14,50,49,49,478,87,727
1/1/16,8,36,52,52,484,83,715
2/1/16,6,44,69,47,478,94,738
3/1/16,7,44,69,45,500,73,738
4/1/16,9,52,40,36,467,87,691
5/1/16,0,49,33,44,489,67,682
6/1/16,4,41,52,52,517,84,750
7/1/16,4,54,66,48,484,81,737
8/1/16,5,36,50,45,500,72,708
9/1/16,5,58,49,24,512,84,732
10/1/16,5,43,52,37,506,77,720
11/1/16,7,30,63,47,506,85,738
12/1/16,6,39,71,36,506,87,745
1/1/17,4,45,61,44,556,91,801
