date,best anonymous browser,Total
1/1/11,33,33
2/1/11,69,69
3/1/11,23,23
4/1/11,100,100
5/1/11,39,39
6/1/11,24,24
7/1/11,40,40
8/1/11,15,15
9/1/11,88,88
10/1/11,56,56
11/1/11,28,28
12/1/11,21,21
1/1/12,88,88
2/1/12,78,78
3/1/12,49,49
4/1/12,26,26
5/1/12,36,36
6/1/12,25,25
7/1/12,43,43
8/1/12,49,49
9/1/12,18,18
10/1/12,44,44
11/1/12,56,56
12/1/12,51,51
1/1/13,55,55
2/1/13,44,44
3/1/13,55,55
4/1/13,80,80
5/1/13,64,64
6/1/13,76,76
7/1/13,40,40
8/1/13,59,59
9/1/13,53,53
10/1/13,64,64
11/1/13,69,69
12/1/13,47,47
1/1/14,78,78
2/1/14,72,72
3/1/14,69,69
4/1/14,88,88
5/1/14,36,36
6/1/14,45,45
7/1/14,39,39
8/1/14,63,63
9/1/14,60,60
10/1/14,53,53
11/1/14,63,63
12/1/14,75,75
1/1/15,79,79
2/1/15,41,41
3/1/15,57,57
4/1/15,51,51
5/1/15,57,57
6/1/15,75,75
7/1/15,95,95
8/1/15,93,93
9/1/15,60,60
10/1/15,80,80
11/1/15,78,78
12/1/15,79,79
1/1/16,67,67
2/1/16,48,48
3/1/16,93,93
4/1/16,82,82
5/1/16,83,83
6/1/16,93,93
7/1/16,58,58
8/1/16,67,67
9/1/16,64,64
10/1/16,57,57
11/1/16,64,64
12/1/16,71,71
1/1/17,79,79
