date,policy youtube,privacy policy youtube
2011-01-01,33,1
2011-02-01,36,1
2011-03-01,35,0
2011-04-01,32,1
2011-05-01,35,1
2011-06-01,36,1
2011-07-01,32,1
2011-08-01,31,1
2011-09-01,38,1
2011-10-01,38,1
2011-11-01,42,1
2011-12-01,39,0
2012-01-01,42,3
2012-02-01,44,4
2012-03-01,47,5
2012-04-01,43,1
2012-05-01,38,1
2012-06-01,32,1
2012-07-01,31,1
2012-08-01,31,1
2012-09-01,39,1
2012-10-01,51,1
2012-11-01,41,1
2012-12-01,39,1
2013-01-01,37,1
2013-02-01,39,1
2013-03-01,37,2
2013-04-01,46,1
2013-05-01,45,1
2013-06-01,37,1
2013-07-01,33,1
2013-08-01,34,1
2013-09-01,43,2
2013-10-01,49,1
2013-11-01,51,1
2013-12-01,60,2
2014-01-01,51,1
2014-02-01,50,2
2014-03-01,52,1
2014-04-01,49,1
2014-05-01,50,1
2014-06-01,45,1
2014-07-01,40,1
2014-08-01,44,1
2014-09-01,49,1
2014-10-01,50,1
2014-11-01,52,2
2014-12-01,48,1
2015-01-01,50,1
2015-02-01,57,2
2015-03-01,54,1
2015-04-01,57,1
2015-05-01,58,1
2015-06-01,46,1
2015-07-01,43,1
2015-08-01,46,1
2015-09-01,52,2
2015-10-01,55,2
2015-11-01,59,1
2015-12-01,52,1
2016-01-01,54,1
2016-02-01,58,2
2016-03-01,59,1
2016-04-01,64,1
2016-05-01,58,1
2016-06-01,56,1
2016-07-01,45,2
2016-08-01,55,1
2016-09-01,100,2
2016-10-01,59,2
2016-11-01,64,2
2016-12-01,56,1
2017-01-01,59,2
