date,whatsapp security code,how to encrypt whatsapp messages
2011-01-01,3,0
2011-02-01,3,0
2011-03-01,3,0
2011-04-01,3,0
2011-05-01,3,0
2011-06-01,6,0
2011-07-01,12,0
2011-08-01,3,0
2011-09-01,3,0
2011-10-01,3,0
2011-11-01,8,0
2011-12-01,10,0
2012-01-01,4,0
2012-02-01,6,0
2012-03-01,5,0
2012-04-01,9,0
2012-05-01,6,0
2012-06-01,6,0
2012-07-01,7,2
2012-08-01,7,2
2012-09-01,9,2
2012-10-01,16,0
2012-11-01,15,0
2012-12-01,14,0
2013-01-01,17,0
2013-02-01,20,0
2013-03-01,15,0
2013-04-01,17,0
2013-05-01,17,0
2013-06-01,21,2
2013-07-01,18,2
2013-08-01,16,2
2013-09-01,13,2
2013-10-01,12,2
2013-11-01,9,2
2013-12-01,15,2
2014-01-01,19,2
2014-02-01,23,2
2014-03-01,17,2
2014-04-01,18,2
2014-05-01,12,4
2014-06-01,19,2
2014-07-01,16,2
2014-08-01,15,4
2014-09-01,14,3
2014-10-01,19,3
2014-11-01,17,2
2014-12-01,18,2
2015-01-01,18,2
2015-02-01,17,4
2015-03-01,21,2
2015-04-01,23,2
2015-05-01,12,3
2015-06-01,21,2
2015-07-01,23,2
2015-08-01,17,2
2015-09-01,12,2
2015-10-01,19,2
2015-11-01,17,2
2015-12-01,18,2
2016-01-01,19,1
2016-02-01,17,1
2016-03-01,18,3
2016-04-01,100,48
2016-05-01,43,7
2016-06-01,40,8
2016-07-01,54,6
2016-08-01,61,4
2016-09-01,56,4
2016-10-01,50,3
2016-11-01,53,3
2016-12-01,61,6
2017-01-01,61,6
