date,WhatsApp help,how to encrypt whatsapp messages
2011-01-01,4,0
2011-02-01,6,0
2011-03-01,7,0
2011-04-01,8,0
2011-05-01,8,0
2011-06-01,10,0
2011-07-01,10,0
2011-08-01,13,0
2011-09-01,12,0
2011-10-01,10,0
2011-11-01,11,0
2011-12-01,17,0
2012-01-01,21,0
2012-02-01,17,0
2012-03-01,22,0
2012-04-01,16,0
2012-05-01,16,0
2012-06-01,19,1
2012-07-01,24,0
2012-08-01,29,0
2012-09-01,31,2
2012-10-01,24,0
2012-11-01,36,0
2012-12-01,36,1
2013-01-01,40,0
2013-02-01,32,0
2013-03-01,36,1
2013-04-01,33,0
2013-05-01,36,1
2013-06-01,36,1
2013-07-01,39,1
2013-08-01,44,1
2013-09-01,39,1
2013-10-01,50,1
2013-11-01,44,1
2013-12-01,40,1
2014-01-01,42,1
2014-02-01,57,1
2014-03-01,52,1
2014-04-01,48,1
2014-05-01,54,1
2014-06-01,50,1
2014-07-01,52,1
2014-08-01,73,1
2014-09-01,57,1
2014-10-01,62,1
2014-11-01,65,2
2014-12-01,68,1
2015-01-01,79,1
2015-02-01,76,1
2015-03-01,90,1
2015-04-01,86,1
2015-05-01,81,1
2015-06-01,77,1
2015-07-01,85,1
2015-08-01,82,1
2015-09-01,95,1
2015-10-01,86,1
2015-11-01,69,1
2015-12-01,91,2
2016-01-01,83,1
2016-02-01,90,1
2016-03-01,89,1
2016-04-01,91,14
2016-05-01,95,2
2016-06-01,81,3
2016-07-01,90,3
2016-08-01,84,1
2016-09-01,100,1
2016-10-01,92,2
2016-11-01,94,2
2016-12-01,93,2
2017-01-01,93,1
