date,whatsapp hack download software,how to encrypt whatsapp messages
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,12,0
2011-08-01,11,0
2011-09-01,11,0
2011-10-01,10,0
2011-11-01,10,0
2011-12-01,10,0
2012-01-01,9,0
2012-02-01,7,0
2012-03-01,7,0
2012-04-01,7,0
2012-05-01,9,0
2012-06-01,9,0
2012-07-01,9,0
2012-08-01,4,0
2012-09-01,9,0
2012-10-01,12,0
2012-11-01,4,0
2012-12-01,10,0
2013-01-01,9,0
2013-02-01,16,0
2013-03-01,21,0
2013-04-01,18,0
2013-05-01,23,0
2013-06-01,24,4
2013-07-01,30,4
2013-08-01,53,3
2013-09-01,45,3
2013-10-01,49,3
2013-11-01,50,3
2013-12-01,51,3
2014-01-01,45,3
2014-02-01,57,4
2014-03-01,57,3
2014-04-01,63,3
2014-05-01,59,7
2014-06-01,66,4
2014-07-01,73,4
2014-08-01,64,7
2014-09-01,47,5
2014-10-01,70,6
2014-11-01,71,3
2014-12-01,65,5
2015-01-01,86,3
2015-02-01,57,7
2015-03-01,97,6
2015-04-01,95,3
2015-05-01,100,6
2015-06-01,67,3
2015-07-01,69,3
2015-08-01,70,3
2015-09-01,65,3
2015-10-01,64,6
2015-11-01,60,3
2015-12-01,41,3
2016-01-01,71,3
2016-02-01,57,3
2016-03-01,41,5
2016-04-01,40,85
2016-05-01,42,13
2016-06-01,48,11
2016-07-01,50,13
2016-08-01,50,9
2016-09-01,66,9
2016-10-01,37,5
2016-11-01,29,5
2016-12-01,39,10
2017-01-01,43,7
