date,hack whatsapp android,how to encrypt whatsapp messages
2011-01-01,1,0
2011-02-01,2,0
2011-03-01,2,0
2011-04-01,1,0
2011-05-01,2,0
2011-06-01,4,0
2011-07-01,2,0
2011-08-01,4,0
2011-09-01,4,0
2011-10-01,4,0
2011-11-01,5,0
2011-12-01,3,0
2012-01-01,6,0
2012-02-01,6,0
2012-03-01,5,0
2012-04-01,5,0
2012-05-01,10,0
2012-06-01,15,0
2012-07-01,12,1
2012-08-01,16,1
2012-09-01,22,1
2012-10-01,22,0
2012-11-01,24,0
2012-12-01,31,0
2013-01-01,27,0
2013-02-01,32,0
2013-03-01,42,0
2013-04-01,41,0
2013-05-01,42,0
2013-06-01,47,1
2013-07-01,58,1
2013-08-01,51,1
2013-09-01,60,1
2013-10-01,59,1
2013-11-01,63,1
2013-12-01,59,1
2014-01-01,66,1
2014-02-01,68,1
2014-03-01,70,1
2014-04-01,70,1
2014-05-01,65,1
2014-06-01,76,1
2014-07-01,77,1
2014-08-01,69,1
2014-09-01,82,1
2014-10-01,74,1
2014-11-01,77,1
2014-12-01,83,1
2015-01-01,80,1
2015-02-01,91,1
2015-03-01,99,1
2015-04-01,88,1
2015-05-01,84,1
2015-06-01,100,1
2015-07-01,94,1
2015-08-01,90,1
2015-09-01,92,1
2015-10-01,87,1
2015-11-01,82,1
2015-12-01,96,1
2016-01-01,97,0
2016-02-01,86,0
2016-03-01,87,1
2016-04-01,81,16
2016-05-01,77,2
2016-06-01,73,3
2016-07-01,74,2
2016-08-01,81,1
2016-09-01,78,1
2016-10-01,75,1
2016-11-01,73,1
2016-12-01,77,2
2017-01-01,71,2
