Date,hacking facebook account
2011-01-01,71.0
2011-02-01,61.0
2011-03-01,66.0
2011-04-01,83.0
2011-05-01,70.0
2011-06-01,68.0
2011-07-01,85.0
2011-08-01,100.0
2011-09-01,65.0
2011-10-01,59.0
2011-11-01,93.0
2011-12-01,69.0
2012-01-01,77.0
2012-02-01,87.0
2012-03-01,68.0
2012-04-01,38.0
2012-05-01,50.0
2012-06-01,75.0
2012-07-01,54.0
2012-08-01,66.0
2012-09-01,45.0
2012-10-01,35.0
2012-11-01,36.0
2012-12-01,55.0
2013-01-01,40.0
2013-02-01,69.0
2013-03-01,36.0
2013-04-01,37.0
2013-05-01,40.0
2013-06-01,47.0
2013-07-01,43.0
2013-08-01,49.0
2013-09-01,27.0
2013-10-01,51.0
2013-11-01,34.0
2013-12-01,31.0
2014-01-01,46.0
2014-02-01,43.0
2014-03-01,29.0
2014-04-01,50.0
2014-05-01,31.0
2014-06-01,56.0
2014-07-01,38.0
2014-08-01,20.0
2014-09-01,27.0
2014-10-01,37.0
2014-11-01,21.0
2014-12-01,40.0
2015-01-01,24.0
2015-02-01,48.0
2015-03-01,37.0
2015-04-01,36.0
2015-05-01,27.0
2015-06-01,34.0
2015-07-01,22.0
2015-08-01,35.0
2015-09-01,19.0
2015-10-01,29.0
2015-11-01,22.0
2015-12-01,29.0
2016-01-01,14.0
2016-02-01,32.0
2016-03-01,21.0
2016-04-01,17.0
2016-05-01,19.0
2016-06-01,33.0
