Date,delete facebook friends
2011-01-01,82.0
2011-02-01,67.0
2011-03-01,41.0
2011-04-01,46.0
2011-05-01,50.0
2011-06-01,45.0
2011-07-01,46.0
2011-08-01,46.0
2011-09-01,61.0
2011-10-01,69.0
2011-11-01,57.0
2011-12-01,75.0
2012-01-01,92.0
2012-02-01,78.0
2012-03-01,68.0
2012-04-01,82.0
2012-05-01,83.0
2012-06-01,100.0
2012-07-01,84.0
2012-08-01,83.0
2012-09-01,77.0
2012-10-01,77.0
2012-11-01,52.0
2012-12-01,33.0
2013-01-01,29.0
2013-02-01,32.0
2013-03-01,24.0
2013-04-01,21.0
2013-05-01,20.0
2013-06-01,22.0
2013-07-01,18.0
2013-08-01,15.0
2013-09-01,13.0
2013-10-01,14.0
2013-11-01,13.0
2013-12-01,12.0
2014-01-01,16.0
2014-02-01,13.0
2014-03-01,14.0
2014-04-01,12.0
2014-05-01,13.0
2014-06-01,14.0
2014-07-01,14.0
2014-08-01,12.0
2014-09-01,12.0
2014-10-01,11.0
2014-11-01,9.0
2014-12-01,9.0
2015-01-01,13.0
2015-02-01,11.0
2015-03-01,9.0
2015-04-01,9.0
2015-05-01,9.0
2015-06-01,13.0
2015-07-01,10.0
2015-08-01,9.0
2015-09-01,10.0
2015-10-01,8.0
2015-11-01,11.0
2015-12-01,9.0
2016-01-01,9.0
2016-02-01,9.0
2016-03-01,8.0
2016-04-01,8.0
2016-05-01,11.0
2016-06-01,11.0
