date,google apps message encryption,google hangouts privacy
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,27,0
2011-06-01,27,0
2011-07-01,27,27
2011-08-01,51,24
2011-09-01,50,24
2011-10-01,0,24
2011-11-01,0,24
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,21,0
2012-04-01,22,0
2012-05-01,20,0
2012-06-01,21,21
2012-07-01,21,21
2012-08-01,21,21
2012-09-01,21,25
2012-10-01,38,28
2012-11-01,38,19
2012-12-01,19,19
2013-01-01,17,24
2013-02-01,19,29
2013-03-01,17,17
2013-04-01,17,34
2013-05-01,17,67
2013-06-01,17,43
2013-07-01,38,25
2013-08-01,59,59
2013-09-01,25,16
2013-10-01,16,16
2013-11-01,24,32
2013-12-01,40,73
2014-01-01,15,59
2014-02-01,40,57
2014-03-01,15,58
2014-04-01,30,98
2014-05-01,46,23
2014-06-01,59,34
2014-07-01,50,41
2014-08-01,41,66
2014-09-01,39,63
2014-10-01,60,45
2014-11-01,31,46
2014-12-01,38,76
2015-01-01,56,78
2015-02-01,46,76
2015-03-01,35,35
2015-04-01,71,100
2015-05-01,77,49
2015-06-01,50,36
2015-07-01,28,56
2015-08-01,28,28
2015-09-01,13,27
2015-10-01,26,52
2015-11-01,53,26
2015-12-01,40,34
2016-01-01,25,50
2016-02-01,44,38
2016-03-01,18,47
2016-04-01,18,18
2016-05-01,35,12
2016-06-01,37,37
2016-07-01,31,62
2016-08-01,24,42
2016-09-01,48,36
2016-10-01,17,40
2016-11-01,23,91
2016-12-01,22,40
2017-01-01,22,22
