date,hangouts desktop notifications,google hangouts privacy
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,21
2011-08-01,0,18
2011-09-01,0,18
2011-10-01,0,18
2011-11-01,0,18
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,0,17
2012-07-01,0,16
2012-08-01,0,16
2012-09-01,0,19
2012-10-01,14,22
2012-11-01,14,15
2012-12-01,15,15
2013-01-01,15,18
2013-02-01,15,22
2013-03-01,13,13
2013-04-01,26,27
2013-05-01,39,52
2013-06-01,20,33
2013-07-01,26,20
2013-08-01,45,46
2013-09-01,25,13
2013-10-01,36,12
2013-11-01,61,24
2013-12-01,12,56
2014-01-01,23,46
2014-02-01,37,44
2014-03-01,39,45
2014-04-01,35,76
2014-05-01,53,18
2014-06-01,52,26
2014-07-01,19,32
2014-08-01,19,51
2014-09-01,61,49
2014-10-01,58,35
2014-11-01,94,36
2014-12-01,23,59
2015-01-01,49,60
2015-02-01,100,59
2015-03-01,54,27
2015-04-01,66,77
2015-05-01,70,38
2015-06-01,44,28
2015-07-01,86,43
2015-08-01,80,22
2015-09-01,73,21
2015-10-01,55,40
2015-11-01,46,20
2015-12-01,52,26
2016-01-01,77,39
2016-02-01,53,29
2016-03-01,68,36
2016-04-01,52,14
2016-05-01,64,9
2016-06-01,42,28
2016-07-01,76,48
2016-08-01,56,33
2016-09-01,69,28
2016-10-01,65,31
2016-11-01,66,71
2016-12-01,66,31
2017-01-01,38,17
