date,skype security risks,google hangouts privacy
2011-01-01,100,22
2011-02-01,47,0
2011-03-01,70,0
2011-04-01,45,0
2011-05-01,92,0
2011-06-01,72,0
2011-07-01,79,22
2011-08-01,50,19
2011-09-01,59,19
2011-10-01,50,19
2011-11-01,56,19
2011-12-01,56,23
2012-01-01,40,26
2012-02-01,53,30
2012-03-01,56,34
2012-04-01,53,17
2012-05-01,60,17
2012-06-01,56,17
2012-07-01,50,17
2012-08-01,44,17
2012-09-01,57,19
2012-10-01,45,22
2012-11-01,20,15
2012-12-01,15,15
2013-01-01,48,14
2013-02-01,30,23
2013-03-01,47,13
2013-04-01,21,27
2013-05-01,13,53
2013-06-01,20,34
2013-07-01,13,31
2013-08-01,18,44
2013-09-01,26,13
2013-10-01,25,19
2013-11-01,21,38
2013-12-01,13,55
2014-01-01,16,39
2014-02-01,13,43
2014-03-01,35,52
2014-04-01,12,68
2014-05-01,13,28
2014-06-01,13,36
2014-07-01,26,31
2014-08-01,26,52
2014-09-01,62,42
2014-10-01,24,54
2014-11-01,31,24
2014-12-01,18,52
2015-01-01,19,56
2015-02-01,24,49
2015-03-01,37,26
2015-04-01,34,79
2015-05-01,22,41
2015-06-01,11,26
2015-07-01,22,50
2015-08-01,26,22
2015-09-01,43,27
2015-10-01,27,41
2015-11-01,35,26
2015-12-01,14,32
2016-01-01,20,30
2016-02-01,10,23
2016-03-01,19,40
2016-04-01,29,16
2016-05-01,19,9
2016-06-01,24,32
2016-07-01,10,49
2016-08-01,29,45
2016-09-01,28,25
2016-10-01,9,33
2016-11-01,9,45
2016-12-01,9,27
2017-01-01,9,23
