date,hangouts notifications not working,google hangouts privacy
2011-01-01,0,13
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,13
2011-08-01,0,11
2011-09-01,0,11
2011-10-01,0,11
2011-11-01,0,11
2011-12-01,0,13
2012-01-01,10,15
2012-02-01,0,17
2012-03-01,0,19
2012-04-01,0,10
2012-05-01,0,10
2012-06-01,0,10
2012-07-01,0,10
2012-08-01,0,10
2012-09-01,0,11
2012-10-01,0,13
2012-11-01,0,9
2012-12-01,0,9
2013-01-01,0,8
2013-02-01,0,13
2013-03-01,0,8
2013-04-01,8,16
2013-05-01,11,31
2013-06-01,16,20
2013-07-01,26,18
2013-08-01,13,26
2013-09-01,11,8
2013-10-01,14,11
2013-11-01,53,22
2013-12-01,39,32
2014-01-01,22,23
2014-02-01,12,25
2014-03-01,17,30
2014-04-01,39,39
2014-05-01,39,16
2014-06-01,41,21
2014-07-01,30,18
2014-08-01,25,30
2014-09-01,50,24
2014-10-01,34,31
2014-11-01,46,14
2014-12-01,55,30
2015-01-01,45,32
2015-02-01,42,28
2015-03-01,30,15
2015-04-01,76,46
2015-05-01,61,23
2015-06-01,28,15
2015-07-01,21,29
2015-08-01,32,13
2015-09-01,33,16
2015-10-01,18,24
2015-11-01,64,15
2015-12-01,100,18
2016-01-01,90,17
2016-02-01,42,13
2016-03-01,13,23
2016-04-01,17,9
2016-05-01,25,5
2016-06-01,33,19
2016-07-01,11,29
2016-08-01,39,26
2016-09-01,29,15
2016-10-01,74,19
2016-11-01,70,26
2016-12-01,33,16
2017-01-01,26,13
