date,how to secure whatsapp
2011-01-01,7
2011-02-01,7
2011-03-01,7
2011-04-01,7
2011-05-01,7
2011-06-01,7
2011-07-01,8
2011-08-01,9
2011-09-01,10
2011-10-01,11
2011-11-01,12
2011-12-01,6
2012-01-01,11
2012-02-01,6
2012-03-01,11
2012-04-01,6
2012-05-01,5
2012-06-01,11
2012-07-01,5
2012-08-01,5
2012-09-01,8
2012-10-01,12
2012-11-01,16
2012-12-01,15
2013-01-01,9
2013-02-01,13
2013-03-01,13
2013-04-01,16
2013-05-01,16
2013-06-01,18
2013-07-01,12
2013-08-01,20
2013-09-01,24
2013-10-01,27
2013-11-01,27
2013-12-01,25
2014-01-01,20
2014-02-01,27
2014-03-01,30
2014-04-01,18
2014-05-01,26
2014-06-01,16
2014-07-01,37
2014-08-01,30
2014-09-01,25
2014-10-01,32
2014-11-01,28
2014-12-01,23
2015-01-01,42
2015-02-01,41
2015-03-01,32
2015-04-01,39
2015-05-01,29
2015-06-01,53
2015-07-01,51
2015-08-01,43
2015-09-01,35
2015-10-01,48
2015-11-01,48
2015-12-01,43
2016-01-01,34
2016-02-01,38
2016-03-01,35
2016-04-01,100
2016-05-01,71
2016-06-01,46
2016-07-01,56
2016-08-01,75
2016-09-01,77
2016-10-01,69
2016-11-01,56
2016-12-01,79
2017-01-01,70
