date,Skype encryption,skype encryption
2011-01-01,100,100
2011-02-01,76,76
2011-03-01,72,72
2011-04-01,65,65
2011-05-01,84,84
2011-06-01,61,61
2011-07-01,68,68
2011-08-01,70,70
2011-09-01,68,68
2011-10-01,51,51
2011-11-01,34,34
2011-12-01,42,42
2012-01-01,52,52
2012-02-01,61,61
2012-03-01,51,51
2012-04-01,55,55
2012-05-01,40,40
2012-06-01,58,58
2012-07-01,53,53
2012-08-01,60,60
2012-09-01,34,34
2012-10-01,42,42
2012-11-01,61,61
2012-12-01,39,39
2013-01-01,50,50
2013-02-01,50,50
2013-03-01,60,60
2013-04-01,49,49
2013-05-01,51,51
2013-06-01,80,80
2013-07-01,71,71
2013-08-01,52,52
2013-09-01,49,49
2013-10-01,46,46
2013-11-01,50,50
2013-12-01,48,48
2014-01-01,29,29
2014-02-01,52,52
2014-03-01,39,39
2014-04-01,36,36
2014-05-01,39,39
2014-06-01,29,29
2014-07-01,41,41
2014-08-01,26,26
2014-09-01,35,35
2014-10-01,39,39
2014-11-01,34,34
2014-12-01,35,35
2015-01-01,34,34
2015-02-01,40,40
2015-03-01,39,39
2015-04-01,35,35
2015-05-01,26,26
2015-06-01,32,32
2015-07-01,35,35
2015-08-01,34,34
2015-09-01,32,32
2015-10-01,30,30
2015-11-01,32,32
2015-12-01,36,36
2016-01-01,29,29
2016-02-01,42,42
2016-03-01,55,55
2016-04-01,63,63
2016-05-01,47,47
2016-06-01,40,40
2016-07-01,40,40
2016-08-01,41,41
2016-09-01,52,52
2016-10-01,44,44
2016-11-01,39,39
2016-12-01,34,34
2017-01-01,29,29
