date,How to encrypt
2011-01-01,64
2011-02-01,71
2011-03-01,66
2011-04-01,67
2011-05-01,63
2011-06-01,66
2011-07-01,65
2011-08-01,67
2011-09-01,65
2011-10-01,60
2011-11-01,63
2011-12-01,62
2012-01-01,66
2012-02-01,65
2012-03-01,65
2012-04-01,69
2012-05-01,68
2012-06-01,66
2012-07-01,70
2012-08-01,78
2012-09-01,68
2012-10-01,68
2012-11-01,70
2012-12-01,68
2013-01-01,69
2013-02-01,79
2013-03-01,73
2013-04-01,69
2013-05-01,70
2013-06-01,69
2013-07-01,72
2013-08-01,79
2013-09-01,73
2013-10-01,76
2013-11-01,73
2013-12-01,69
2014-01-01,80
2014-02-01,78
2014-03-01,82
2014-04-01,78
2014-05-01,74
2014-06-01,76
2014-07-01,78
2014-08-01,78
2014-09-01,89
2014-10-01,86
2014-11-01,80
2014-12-01,77
2015-01-01,83
2015-02-01,84
2015-03-01,82
2015-04-01,81
2015-05-01,71
2015-06-01,74
2015-07-01,74
2015-08-01,79
2015-09-01,82
2015-10-01,85
2015-11-01,82
2015-12-01,84
2016-01-01,85
2016-02-01,92
2016-03-01,95
2016-04-01,100
2016-05-01,86
2016-06-01,88
2016-07-01,84
2016-08-01,90
2016-09-01,92
2016-10-01,92
2016-11-01,89
2016-12-01,87
2017-01-01,96
