date,Encrypt phone calls
2011-01-01,25
2011-02-01,27
2011-03-01,47
2011-04-01,39
2011-05-01,0
2011-06-01,37
2011-07-01,65
2011-08-01,47
2011-09-01,23
2011-10-01,50
2011-11-01,21
2011-12-01,28
2012-01-01,58
2012-02-01,40
2012-03-01,51
2012-04-01,73
2012-05-01,46
2012-06-01,48
2012-07-01,19
2012-08-01,19
2012-09-01,31
2012-10-01,45
2012-11-01,25
2012-12-01,68
2013-01-01,46
2013-02-01,29
2013-03-01,41
2013-04-01,31
2013-05-01,40
2013-06-01,98
2013-07-01,61
2013-08-01,45
2013-09-01,67
2013-10-01,33
2013-11-01,43
2013-12-01,48
2014-01-01,40
2014-02-01,44
2014-03-01,31
2014-04-01,32
2014-05-01,51
2014-06-01,46
2014-07-01,74
2014-08-01,45
2014-09-01,80
2014-10-01,41
2014-11-01,46
2014-12-01,46
2015-01-01,34
2015-02-01,51
2015-03-01,59
2015-04-01,56
2015-05-01,25
2015-06-01,60
2015-07-01,50
2015-08-01,62
2015-09-01,45
2015-10-01,100
2015-11-01,72
2015-12-01,76
2016-01-01,57
2016-02-01,38
2016-03-01,42
2016-04-01,66
2016-05-01,36
2016-06-01,11
2016-07-01,44
2016-08-01,58
2016-09-01,54
2016-10-01,37
2016-11-01,69
2016-12-01,45
2017-01-01,49
