date,how to encrypt emails
2011-01-01,35
2011-02-01,59
2011-03-01,46
2011-04-01,42
2011-05-01,53
2011-06-01,54
2011-07-01,47
2011-08-01,64
2011-09-01,44
2011-10-01,65
2011-11-01,41
2011-12-01,62
2012-01-01,43
2012-02-01,45
2012-03-01,39
2012-04-01,94
2012-05-01,66
2012-06-01,40
2012-07-01,63
2012-08-01,36
2012-09-01,62
2012-10-01,37
2012-11-01,52
2012-12-01,80
2013-01-01,34
2013-02-01,66
2013-03-01,55
2013-04-01,55
2013-05-01,58
2013-06-01,51
2013-07-01,92
2013-08-01,67
2013-09-01,61
2013-10-01,62
2013-11-01,79
2013-12-01,41
2014-01-01,59
2014-02-01,32
2014-03-01,83
2014-04-01,37
2014-05-01,79
2014-06-01,59
2014-07-01,57
2014-08-01,45
2014-09-01,55
2014-10-01,26
2014-11-01,73
2014-12-01,49
2015-01-01,46
2015-02-01,42
2015-03-01,28
2015-04-01,93
2015-05-01,62
2015-06-01,67
2015-07-01,73
2015-08-01,45
2015-09-01,54
2015-10-01,67
2015-11-01,43
2015-12-01,50
2016-01-01,69
2016-02-01,88
2016-03-01,73
2016-04-01,100
2016-05-01,82
2016-06-01,43
2016-07-01,67
2016-08-01,83
2016-09-01,62
2016-10-01,65
2016-11-01,77
2016-12-01,62
2017-01-01,94
