date,Encryption programs,how to encrypt emails
2011-01-01,100,23
2011-02-01,89,25
2011-03-01,87,10
2011-04-01,98,16
2011-05-01,82,19
2011-06-01,82,15
2011-07-01,77,18
2011-08-01,50,18
2011-09-01,70,18
2011-10-01,84,24
2011-11-01,74,23
2011-12-01,75,20
2012-01-01,34,16
2012-02-01,65,10
2012-03-01,83,16
2012-04-01,93,41
2012-05-01,61,15
2012-06-01,68,18
2012-07-01,53,24
2012-08-01,59,12
2012-09-01,52,17
2012-10-01,67,12
2012-11-01,62,16
2012-12-01,68,14
2013-01-01,31,16
2013-02-01,62,19
2013-03-01,62,17
2013-04-01,63,21
2013-05-01,53,16
2013-06-01,42,23
2013-07-01,73,38
2013-08-01,60,31
2013-09-01,68,26
2013-10-01,61,15
2013-11-01,82,18
2013-12-01,42,20
2014-01-01,59,20
2014-02-01,72,17
2014-03-01,72,23
2014-04-01,52,20
2014-05-01,44,33
2014-06-01,74,25
2014-07-01,55,23
2014-08-01,59,14
2014-09-01,58,21
2014-10-01,79,24
2014-11-01,71,26
2014-12-01,51,17
2015-01-01,55,18
2015-02-01,82,19
2015-03-01,64,22
2015-04-01,52,24
2015-05-01,60,21
2015-06-01,47,28
2015-07-01,42,21
2015-08-01,56,22
2015-09-01,50,28
2015-10-01,74,20
2015-11-01,72,20
2015-12-01,66,30
2016-01-01,47,30
2016-02-01,53,29
2016-03-01,68,35
2016-04-01,57,34
2016-05-01,45,34
2016-06-01,48,15
2016-07-01,42,24
2016-08-01,38,20
2016-09-01,47,22
2016-10-01,63,34
2016-11-01,75,37
2016-12-01,49,23
2017-01-01,41,32
