date,my gmail account,how to delete gmail
2011-01-01,32,28
2011-02-01,34,28
2011-03-01,33,27
2011-04-01,35,29
2011-05-01,37,29
2011-06-01,46,33
2011-07-01,53,38
2011-08-01,51,36
2011-09-01,45,35
2011-10-01,44,36
2011-11-01,44,35
2011-12-01,49,38
2012-01-01,50,39
2012-02-01,43,33
2012-03-01,42,33
2012-04-01,43,34
2012-05-01,41,33
2012-06-01,45,36
2012-07-01,49,40
2012-08-01,54,42
2012-09-01,49,41
2012-10-01,49,37
2012-11-01,47,38
2012-12-01,49,43
2013-01-01,51,43
2013-02-01,53,45
2013-03-01,53,43
2013-04-01,53,47
2013-05-01,57,46
2013-06-01,54,49
2013-07-01,59,51
2013-08-01,60,51
2013-09-01,59,51
2013-10-01,61,50
2013-11-01,62,50
2013-12-01,70,59
2014-01-01,74,62
2014-02-01,68,58
2014-03-01,70,57
2014-04-01,73,58
2014-05-01,64,56
2014-06-01,69,58
2014-07-01,72,61
2014-08-01,78,65
2014-09-01,78,61
2014-10-01,69,59
2014-11-01,70,59
2014-12-01,69,56
2015-01-01,74,55
2015-02-01,71,52
2015-03-01,69,55
2015-04-01,67,54
2015-05-01,67,53
2015-06-01,77,57
2015-07-01,77,59
2015-08-01,78,62
2015-09-01,78,58
2015-10-01,76,55
2015-11-01,73,52
2015-12-01,77,58
2016-01-01,81,60
2016-02-01,76,57
2016-03-01,77,56
2016-04-01,83,55
2016-05-01,78,54
2016-06-01,79,60
2016-07-01,92,61
2016-08-01,100,63
2016-09-01,91,61
2016-10-01,89,59
2016-11-01,88,59
2016-12-01,91,63
2017-01-01,98,65
