date,create new google account,how to delete gmail
2011-01-01,5,42
2011-02-01,5,43
2011-03-01,6,42
2011-04-01,5,45
2011-05-01,7,44
2011-06-01,8,51
2011-07-01,12,59
2011-08-01,11,56
2011-09-01,11,54
2011-10-01,10,55
2011-11-01,10,54
2011-12-01,10,59
2012-01-01,10,60
2012-02-01,9,50
2012-03-01,9,50
2012-04-01,9,52
2012-05-01,11,51
2012-06-01,11,55
2012-07-01,12,61
2012-08-01,12,65
2012-09-01,14,63
2012-10-01,10,57
2012-11-01,11,58
2012-12-01,14,66
2013-01-01,13,66
2013-02-01,13,69
2013-03-01,14,67
2013-04-01,14,71
2013-05-01,15,71
2013-06-01,15,75
2013-07-01,20,79
2013-08-01,21,79
2013-09-01,20,78
2013-10-01,19,77
2013-11-01,21,76
2013-12-01,25,91
2014-01-01,22,96
2014-02-01,20,88
2014-03-01,21,88
2014-04-01,23,89
2014-05-01,23,86
2014-06-01,23,88
2014-07-01,22,94
2014-08-01,23,100
2014-09-01,23,94
2014-10-01,22,91
2014-11-01,23,90
2014-12-01,23,86
2015-01-01,22,85
2015-02-01,22,80
2015-03-01,28,84
2015-04-01,25,83
2015-05-01,24,82
2015-06-01,24,87
2015-07-01,23,90
2015-08-01,24,95
2015-09-01,27,89
2015-10-01,21,84
2015-11-01,22,80
2015-12-01,24,89
2016-01-01,24,91
2016-02-01,22,87
2016-03-01,23,85
2016-04-01,22,84
2016-05-01,22,83
2016-06-01,22,92
2016-07-01,27,94
2016-08-01,26,97
2016-09-01,26,93
2016-10-01,28,91
2016-11-01,31,91
2016-12-01,35,97
2017-01-01,30,100
