date,delete my gmail account,how to delete gmail
2011-01-01,7,42
2011-02-01,7,43
2011-03-01,7,42
2011-04-01,8,45
2011-05-01,8,44
2011-06-01,10,51
2011-07-01,10,59
2011-08-01,10,56
2011-09-01,10,54
2011-10-01,9,55
2011-11-01,10,54
2011-12-01,11,59
2012-01-01,10,60
2012-02-01,9,50
2012-03-01,9,50
2012-04-01,9,52
2012-05-01,8,51
2012-06-01,10,55
2012-07-01,9,61
2012-08-01,10,65
2012-09-01,9,63
2012-10-01,9,57
2012-11-01,9,58
2012-12-01,10,66
2013-01-01,10,66
2013-02-01,11,69
2013-03-01,10,67
2013-04-01,12,71
2013-05-01,11,71
2013-06-01,10,75
2013-07-01,12,79
2013-08-01,13,79
2013-09-01,12,78
2013-10-01,11,77
2013-11-01,11,76
2013-12-01,14,91
2014-01-01,16,96
2014-02-01,15,88
2014-03-01,16,88
2014-04-01,14,89
2014-05-01,13,86
2014-06-01,12,88
2014-07-01,14,94
2014-08-01,15,100
2014-09-01,14,94
2014-10-01,13,91
2014-11-01,13,90
2014-12-01,12,86
2015-01-01,13,85
2015-02-01,12,80
2015-03-01,11,84
2015-04-01,11,83
2015-05-01,12,82
2015-06-01,13,87
2015-07-01,13,90
2015-08-01,13,95
2015-09-01,12,89
2015-10-01,12,84
2015-11-01,11,80
2015-12-01,11,89
2016-01-01,13,91
2016-02-01,12,87
2016-03-01,11,85
2016-04-01,11,84
2016-05-01,11,83
2016-06-01,12,92
2016-07-01,13,94
2016-08-01,15,97
2016-09-01,13,93
2016-10-01,12,91
2016-11-01,13,91
2016-12-01,14,97
2017-01-01,14,100
